Name,Min-Weight,Timestep-Cycle,Max-Weight,Timestep-Cycle
aprmaybanksctrl,0.1,1980-5-31-C24,0.1,1980-5-31-C24
aprmayexpctrl,0.1,1980-5-31-C24,0.1,1980-5-31-C24
aprmaytracyctrl,0.1,1980-5-31-C24,0.1,1980-5-31-C24
art_21_tot,1.0,1980-5-31-C22,1.0,1980-5-31-C22
buy_cbd028_08s_pa,2.0,1980-5-31-C24,2.0,1980-5-31-C24
buy_cbd049_08n_pa,2.0,1980-5-31-C24,2.0,1980-5-31-C24
buy_ccl005_04_pa1,2.0,1980-5-31-C24,2.0,1980-5-31-C24
buy_gcc065_08s_pa,2.0,1980-5-31-C24,2.0,1980-5-31-C24
buy_klr005_21_pa,2.0,1980-5-31-C24,2.0,1980-5-31-C24
buy_sac294_03_pa,2.0,1980-5-31-C24,2.0,1980-5-31-C24
buy_tcc022_04_pa2,2.0,1980-5-31-C24,2.0,1980-5-31-C24
buy_tcc036_07n_pa,2.0,1980-5-31-C24,2.0,1980-5-31-C24
buy_tcc081_07s_pa,2.0,1980-5-31-C24,2.0,1980-5-31-C24
buy_tcc111_07s_pa,2.0,1980-5-31-C24,2.0,1980-5-31-C24
buy_wtpcsd_02_pa,2.0,1980-5-31-C24,2.0,1980-5-31-C24
c16_tfb,298.0,1980-5-31-C14,298.0,1980-5-31-C14
c1_fm,200.0,1980-5-31-C22,200.0,1980-5-31-C22
c1_fm__fut__1,200.0,1980-5-31-C22,200.0,1980-5-31-C22
c1_fm__fut__10,200.0,1981-1-31-C22,200.0,1981-1-31-C22
c1_fm__fut__11,200.0,1981-1-31-C22,200.0,1981-1-31-C22
c1_fm__fut__2,200.0,1980-5-31-C22,200.0,1980-5-31-C22
c1_fm__fut__3,200.0,1980-5-31-C22,200.0,1980-5-31-C22
c1_fm__fut__4,200.0,1980-5-31-C22,200.0,1980-5-31-C22
c1_fm__fut__5,200.0,1980-5-31-C22,200.0,1980-5-31-C22
c1_fm__fut__6,200.0,1980-5-31-C22,200.0,1980-5-31-C22
c1_fm__fut__7,200.0,1980-5-31-C22,200.0,1980-5-31-C22
c1_fm__fut__8,200.0,1981-1-31-C22,200.0,1981-1-31-C22
c1_fm__fut__9,200.0,1981-1-31-C22,200.0,1981-1-31-C22
c2_fm,100.0,1980-5-31-C22,100.0,1980-5-31-C22
c2_fm__fut__1,100.0,1980-5-31-C22,100.0,1980-5-31-C22
c2_fm__fut__10,100.0,1981-1-31-C22,100.0,1981-1-31-C22
c2_fm__fut__11,100.0,1981-1-31-C22,100.0,1981-1-31-C22
c2_fm__fut__2,100.0,1980-5-31-C22,100.0,1980-5-31-C22
c2_fm__fut__3,100.0,1980-5-31-C22,100.0,1980-5-31-C22
c2_fm__fut__4,100.0,1980-5-31-C22,100.0,1980-5-31-C22
c2_fm__fut__5,100.0,1980-5-31-C22,100.0,1980-5-31-C22
c2_fm__fut__6,100.0,1980-5-31-C22,100.0,1980-5-31-C22
c2_fm__fut__7,100.0,1980-5-31-C22,100.0,1980-5-31-C22
c2_fm__fut__8,100.0,1981-1-31-C22,100.0,1981-1-31-C22
c2_fm__fut__9,100.0,1981-1-31-C22,100.0,1981-1-31-C22
c33b_fm,2500.0,1980-5-31-C22,2500.0,1980-5-31-C22
c33b_fm__fut__1,2500.0,1980-5-31-C22,2500.0,1980-5-31-C22
c33b_fm__fut__10,2500.0,1981-1-31-C22,2500.0,1981-1-31-C22
c33b_fm__fut__11,2500.0,1981-1-31-C22,2500.0,1981-1-31-C22
c33b_fm__fut__2,2500.0,1980-5-31-C22,2500.0,1980-5-31-C22
c33b_fm__fut__3,2500.0,1980-5-31-C22,2500.0,1980-5-31-C22
c33b_fm__fut__4,2500.0,1980-5-31-C22,2500.0,1980-5-31-C22
c33b_fm__fut__5,2500.0,1980-5-31-C22,2500.0,1980-5-31-C22
c33b_fm__fut__6,2500.0,1980-5-31-C22,2500.0,1980-5-31-C22
c33b_fm__fut__7,2500.0,1980-5-31-C22,2500.0,1980-5-31-C22
c33b_fm__fut__8,2500.0,1981-1-31-C22,2500.0,1981-1-31-C22
c33b_fm__fut__9,2500.0,1981-1-31-C22,2500.0,1981-1-31-C22
c3mif_fm,20000.0,1980-5-31-C22,20000.0,1980-5-31-C22
c3mif_fm__fut__1,20000.0,1980-5-31-C22,20000.0,1980-5-31-C22
c3mif_fm__fut__10,20000.0,1981-1-31-C22,20000.0,1981-1-31-C22
c3mif_fm__fut__11,20000.0,1981-1-31-C22,20000.0,1981-1-31-C22
c3mif_fm__fut__2,20000.0,1980-5-31-C22,20000.0,1980-5-31-C22
c3mif_fm__fut__3,20000.0,1980-5-31-C22,20000.0,1980-5-31-C22
c3mif_fm__fut__4,20000.0,1980-5-31-C22,20000.0,1980-5-31-C22
c3mif_fm__fut__5,20000.0,1980-5-31-C22,20000.0,1980-5-31-C22
c3mif_fm__fut__6,20000.0,1980-5-31-C22,20000.0,1980-5-31-C22
c3mif_fm__fut__7,20000.0,1980-5-31-C22,20000.0,1980-5-31-C22
c3mif_fm__fut__8,20000.0,1981-1-31-C22,20000.0,1981-1-31-C22
c3mif_fm__fut__9,20000.0,1981-1-31-C22,20000.0,1981-1-31-C22
c422_kc,999999.1,1980-5-31-C24,999999.1,1980-5-31-C24
c422_rel_p_whl,2005.0,1980-5-31-C24,2005.0,1980-5-31-C24
c423b_whl_sb,0.11,1980-5-31-C24,0.11,1980-5-31-C24
c423b_whl_sf,0.1,1980-5-31-C24,0.1,1980-5-31-C24
c424_dt,3000.0,1980-5-31-C24,3000.0,1980-5-31-C24
c931_tvc_r,0.1,1980-5-31-C14,0.1,1980-5-31-C14
c936_sw_r,0.1,1980-5-31-C14,0.1,1980-5-31-C14
c941b_cvc_r,0.1,1980-5-31-C14,0.1,1980-5-31-C14
c_abn010,20000.0,1980-5-31-C5,20000.0,1980-5-31-C5
c_ald001_mif,5000.0,1980-5-31-C7,5000.0,1980-5-31-C7
c_almnr_mif,51000.0,1980-5-31-C4,51000.0,1980-5-31-C4
c_amr004_mif,5500.0,1980-5-31-C24,5500.0,1980-5-31-C24
c_amr004_mit,5500.0,1980-5-31-C24,5500.0,1980-5-31-C24
c_anc000,1.0,1980-5-31-C11,1.0,1980-5-31-C11
c_ang014_mif,3000.0,1980-5-31-C11,3000.0,1980-5-31-C11
c_ang017_mif,3000.0,1980-5-31-C11,3000.0,1980-5-31-C11
c_antlp_mif,55000.0,1980-5-31-C4,55000.0,1980-5-31-C4
c_asl013,99999.0,1980-5-31-C14,99999.0,1980-5-31-C14
c_bgc002_add,3000.0,1980-5-31-C4,3000.0,1980-5-31-C4
c_bgc002_mif,2000000.0,1980-5-31-C4,2000000.0,1980-5-31-C4
c_blkbt_flood,900000.0,1980-5-31-C24,900000.0,1980-5-31-C24
c_blkbt_mif,17000.0,1980-5-31-C24,17000.0,1980-5-31-C24
c_bowmn_pwr,10000.0,1980-5-31-C5,10000.0,1980-5-31-C5
c_brr017_bdsa,5050.0,1980-5-31-C24,5050.0,1980-5-31-C24
c_brr017_mif,5100.0,1980-5-31-C24,5100.0,1980-5-31-C24
c_brr050_add_nid,500.0,1980-5-31-C5,500.0,1980-5-31-C5
c_brr050_add_pge,900.0,1980-5-31-C5,900.0,1980-5-31-C5
c_brr050_mif,30000.0,1980-5-31-C5,30000.0,1980-5-31-C5
c_brr050_mif_nid,1000.0,1980-5-31-C5,1000.0,1980-5-31-C5
c_brr050_mif_pge,1000.0,1980-5-31-C5,1000.0,1980-5-31-C5
c_brr050_pge_rest,15000.0,1980-5-31-C5,15000.0,1980-5-31-C5
c_brr061_mif,20000.0,1980-5-31-C5,20000.0,1980-5-31-C5
c_brr066_mif,20000.0,1980-5-31-C5,20000.0,1980-5-31-C5
c_brr073_mif,20000.0,1980-5-31-C5,20000.0,1980-5-31-C5
c_brs018,99999.0,1980-5-31-C14,99999.0,1980-5-31-C14
c_brt003,10.0,1980-5-31-C8,10.0,1980-5-31-C8
c_brv002_mif,200000.0,1980-5-31-C8,200000.0,1980-5-31-C8
c_bsh002_mif,5000.0,1980-5-31-C7,5000.0,1980-5-31-C7
c_bsl001a_flood,900000.0,1980-5-31-C24,900000.0,1980-5-31-C24
c_bsl001b_flood,900000.0,1980-5-31-C24,900000.0,1980-5-31-C24
c_bsl004_flood,900000.0,1980-5-31-C24,900000.0,1980-5-31-C24
c_btc003_flood,900000.0,1980-5-31-C24,900000.0,1980-5-31-C24
c_bvc007_add,1.0,1980-5-31-C11,1.0,1980-5-31-C11
c_bvc007_mif,5000.0,1980-5-31-C11,5000.0,1980-5-31-C11
c_caa003_cvpded,10.0,1980-5-31-C24,10.0,1980-5-31-C24
c_caa003_wts_stg1,1300.0,1980-5-31-C24,1300.0,1980-5-31-C24
c_cch012_add,3000.0,1980-5-31-C24,3000.0,1980-5-31-C24
c_cch012_mif,5100.0,1980-5-31-C24,5100.0,1980-5-31-C24
c_cch030_mif,5100.0,1980-5-31-C24,5100.0,1980-5-31-C24
c_ccs009_add,1000.0,1980-5-31-C5,1000.0,1980-5-31-C5
c_ccs009_mif,20000.0,1980-5-31-C5,20000.0,1980-5-31-C5
c_cct011_flood,900000.0,1980-5-31-C24,900000.0,1980-5-31-C24
