American_ResInfo									
ResNum	storage	area	discharge	elevation					
1	0	0	50000	5110	!French	Meadows			
1	12115	369	50000	5128					
1	21236	568	50000	5146					
1	32401	691	50000	5163					
1	45759	818	50000	5181					
1	61429	943	50000	5199					
1	79330	1066	50000	5217					
1	99374	1188	50000	5234					
1	121682	1328	50000	5252					
1	146502	1470	50000	5270					
2	0	0	50000	4320	!Hell	Hole			
2	8988	262	50000	4357					
2	21423	406	50000	4393					
2	38400	527	50000	4430					
2	59962	645	50000	4467					
2	85517	744	50000	4503					
2	114310	829	50000	4540					
2	147198	990	50000	4577					
2	187318	1185	50000	4613					
2	226821	1310	50000	4650					
3	0.3	1	50000	5183	!Gerle	Reservoir			
3	14	12	50000	5190					
3	64	23	50000	5197					
3	178	34	50000	5205					
3	353	44	50000	5212					
3	613	54	50000	5219					
3	951	63	50000	5226					
3	1229	69	50000	5231					
3	2219	81	50000	5240					
3	3385	88	50000	5246					
4	0	137	50000	6326	!Loon	Lake			
4	2837	220	50000	6332					
4	6731	459	50000	6344					
4	14156	664	50000	6357					
4	23310	846	50000	6369					
4	34443	1007	50000	6381					
4	47468	1171	50000	6393					
4	63793	1350	50000	6406					
4	81083	1540	50000	6418					
4	97318	1729	50000	6430					
5	0	77	50000	4628	!Union	Valley			
5	5636	161	50000	4650					
5	12251	290	50000	4680					
5	23749	487	50000	4710					
5	42373	770	50000	4740					
5	70786	1130	50000	4770					
5	111304	1569	50000	4800					
5	166383	2108	50000	4830					
5	238291	2672	50000	4860					
5	252062	2760	50000	4865	!	Check	this	line	-
5	327920	3197	50000	4890					
6	3	2	50000	5320	!Ice	House			
6	355	55	50000	5338					
6	2304	167	50000	5356					
6	6269	291	50000	5373					
6	12378	384	50000	5391					
6	20072	470	50000	5409					
6	29328	556	50000	5427					
6	39540	643	50000	5444					
6	46237	738	50000	5462					
6	65672	789	50000	5480					
7	0	0	50000	0	!Folosm				
7	5311	147	50000	221					
7	57854	1498	50000	311					
7	109725	2466	50000	338					
7	164529	3486	50000	357					
7	219177	4486	50000	371					
7	272275	5330	50000	382					
7	364281	6458	50000	397					
7	645428	9107	50000	433					
7	976955	11183	50000	466					
8	0	0	50000	102					
8	1939	180	50000	103					
8	3094	242	50000	109					
8	3987	285	50000	112					
8	4704	317	50000	115					
8	5510	353	50000	117					
8	6401	393	50000	120					
8	7404	448	50000	122					
8	8584	524	50000	125					
8	10000	540	50000	125					
9	0	0	50000	5729	!Lake	Valley			
9	7	3	50000	5732					
9	79	22	50000	5738					
9	312	58	50000	5745					
9	877	104	50000	5752					
9	1703	143	50000	5758					
9	2796	192	50000	5765					
9	4258	240	50000	5772					
9	5981	275	50000	5778					
9	7902	304	50000	5785					
10	0	0	50000	4190	!Stumpy	Meadows			
10	3778	133	50000	4194					
10	5417	158	50000	4203					
10	6917	180	50000	4212					
10	8750	218	50000	4221					
10	10750	244	50000	4229					
10	12933	260	50000	4238					
10	15456	288	50000	4247					
10	18000	316	50000	4256					
10	20000	323	50000	4265					
11	0	0	50000	7184	!Silver	Lake			
11	679	228	50000	7187					
11	1497	316	50000	7190					
11	2394	338	50000	7192					
11	3391	366	50000	7195					
11	4450	399	50000	7198					
11	5607	437	50000	7201					
11	6876	468	50000	7203					
11	8201	498	50000	7206					
11	8690	520	50000	7207					
12	0	50	50000	7900	!Caples	Lake			
12	694	184	50000	7907					
12	2096	269	50000	7913					
12	4030	338	50000	7920					
12	6500	383	50000	7927					
12	9362	427	50000	7933					
12	12535	505	50000	7940					
12	16089	558	50000	7947					
12	19967	604	50000	7953					
12	23800	638	50000	7960					
13	0	0	50000	8195	!Lake	Aloha			
13	85	58	50000	8197					
13	190	129	50000	8198					
13	511	294	50000	8200					
13	1072	382	50000	8202					
13	1756	436	50000	8203					
13	2510	473	50000	8205					
13	3337	511	50000	8207					
13	4226	549	50000	8208					
13	5179	590	50000	8210					
14	0	0	50000	7405.5	!Echo	Lake			
14	221	314	50000	7406.2					
14	284	315	50000	7406.4					
14	631	320	50000	7407.5					
14	1279	328	50000	7409.5					
14	1943	335	50000	7411.5					
15	0	0	50000	3312	!Jenkinson	Lake			
15	430	46	50000	3349					
15	1842	132	50000	3366					
15	4867	208	50000	3383					
15	9084	277	50000	3401					
15	14772	370	50000	3419					
15	22148	462	50000	3437					
15	31149	557	50000	3454					
15	41264	650	50000	3471					
15	47130	690	50000	3480					
