American_ResLevel		
ResNum	month	target
953.1	10	6400 !Loon Lake
953.1	11	6393
953.1	12	6390
953.2	10	6400
953.2	11	6393
953.2	12	6390
953.3	10	6399
953.3	11	6394
953.3	12	6390
953.4	10	6395
953.4	11	6389
953.4	12	6385
953.5	10	6388
953.5	11	6382
953.5	12	6379
954.1	10	4856 !Union Valley
954.1	11	4842
954.1	12	4830
954.2	10	4856
954.2	11	4841
954.2	12	4830
954.3	10	4856
954.3	11	4835
954.3	12	4830
954.4	10	4836
954.4	11	4827
954.4	12	4818
954.5	10	4816
954.5	11	4803
954.5	12	4796
955.1	10	5441
955.1	11	5434 !Ice House
955.1	12	5430
955.2	10	5441
955.2	11	5435
955.2	12	5431
955.3	10	5440
955.3	11	5434
955.3	12	5430
955.4	10	5437
955.4	11	5433
955.4	12	5429
955.5	10	5435
955.5	11	5430
955.5	12	5420
963.1	9	22.338 !Caples
963.1	10	22.338
963.1	11	18.006
963.1	12	18.006
963.2	9	22.338
963.2	10	22.338
963.2	11	18.006
963.2	12	18.006
963.3	9	22.338
963.3	10	22.089
963.3	11	18.006
963.3	12	18.006
963.4	9	18.704
963.4	10	18.646
963.4	11	14.376
963.4	12	14.376
963.5	9	18.704
963.5	10	18.413
963.5	11	14.376
963.5	12	14.376
