!Loon Lake preferred storage objective					
!elevation = ft, days= WY days, Wetness index = A,B,C,D, E as defined in the wresl code.						
!Reservoirs 1=LL, 2=Ice House, 3=Union Valley					
American_UARP_StorObj						
Reservoir	Mon	A	B	C	D	E
1	1	6385.2	6385.2	6385.2	6385.2	6385.2
1	2	6385.2	6385.2	6385.2	6385.2	6385.2
1	3	6385.2	6385.2	6385.2	6385.2	6385.2
1	4	6372.0	6365.3	6365.3	6365.3	6365.3
1	5	6374.3	6364.0	6355.5	6352.3	6350.2
1	6	6380.3	6372.2	6356.3	6353.3	6350.2
1	7	6393.3	6388.8	6368.0	6360.1	6350.2
1	8	6410.0	6410.0	6410.0	6396.8	6381.5
1	9	6410.0	6410.0	6410.0	6410.0	6410.0
1	10	6405.3	6405.3	6405.3	6405.3	6405.3
1	11	6395.8	6395.8	6395.8	6395.8	6395.8
1	12	6385.4	6385.4	6385.4	6385.4	6385.4
2	1	5429.9	5429.9	5429.9	5429.9	5429.9
2	2	5429.9	5429.9	5429.9	5429.9	5429.9
2	3	5418.9	5418.9	5418.9	5418.9	5418.9
2	4	5405.7	5398.9	5398.9	5398.9	5398.9
2	5	5408.4	5401.3	5394.8	5384.4	5383.0
2	6	5414.3	5408.4	5397.2	5384.4	5383.0
2	7	5426.5	5424.5	5406.6	5384.4	5383.0
2	8	5450.0	5450.0	5450.0	5438.3	5425.4
2	9	5450.0	5450.0	5450.0	5450.0	5450.0
2	10	5446.2	5446.2	5446.2	5446.2	5446.2
2	11	5438.3	5438.3	5438.3	5438.3	5438.3
2	12	5430.0	5430.0	5430.0	5430.0	5430.0
3	1	4821.9	4821.9	4821.9	4821.9	4821.9
3	2	4821.9	4821.9	4821.9	4821.9	4821.9
3	3	4821.9	4821.9	4821.9	4821.9	4821.9
3	4	4831.6	4827.1	4809.1	4801.9	4795.9
3	5	4840.6	4832.1	4816.1	4791.7	4775.9
3	6	4848.6	4839.8	4824.3	4806.5	4775.9
3	7	4862.0	4853.3	4840.6	4826.8	4811.2
3	8	4870.0	4870.0	4870.0	4857.6	4844.8
3	9	4870.0	4870.0	4870.0	4870.0	4870.0
3	10	4861.3	4861.3	4861.3	4861.3	4861.3
3	11	4843.1	4843.1	4843.1	4843.1	4843.1
3	12	4822.2	4822.2	4822.2	4822.2	4822.2
