! New Baselines version (Jun 2009), based on (version 9B1) Common Assumptions CMP
! 2005 Level of Development Assumptions
! source spreadsheet: BST_SWP_SOD_2005_062709.xls
AnnualReqDel_swp
Year             AG               MWD              OTH              LOSS             Total
             1921           1006.9           1911.5           1252.3             64.5           4235.2
             1922           1006.9           1911.5           1252.3             64.5           4235.2
             1923           1006.9           1911.5           1252.3             64.5           4235.2
             1924           1006.9           1911.5           1252.3             64.5           4235.2
             1925           1006.9           1911.5           1252.3             64.5           4235.2
             1926           1006.9           1911.5           1252.3             64.5           4235.2
             1927           1006.9           1911.5           1252.3             64.5           4235.2
             1928           1006.9           1911.5           1252.3             64.5           4235.2
             1929           1006.9           1911.5           1252.3             64.5           4235.2
             1930           1006.9           1911.5           1252.3             64.5           4235.2
             1931           1006.9           1911.5           1252.3             64.5           4235.2
             1932           1006.9           1911.5           1252.3             64.5           4235.2
             1933           1006.9           1911.5           1252.3             64.5           4235.2
             1934           1006.9           1911.5           1252.3             64.5           4235.2
             1935           1006.9           1911.5           1252.3             64.5           4235.2
             1936           1006.9           1911.5           1252.3             64.5           4235.2
             1937           1006.9           1911.5           1252.3             64.5           4235.2
             1938           1006.9           1911.5           1252.3             64.5           4235.2
             1939           1006.9           1911.5           1252.3             64.5           4235.2
             1940           1006.9           1911.5           1252.3             64.5           4235.2
             1941           1006.9           1911.5           1252.3             64.5           4235.2
             1942           1006.9           1911.5           1252.3             64.5           4235.2
             1943           1006.9           1911.5           1252.3             64.5           4235.2
             1944           1006.9           1911.5           1252.3             64.5           4235.2
             1945           1006.9           1911.5           1252.3             64.5           4235.2
             1946           1006.9           1911.5           1252.3             64.5           4235.2
             1947           1006.9           1911.5           1252.3             64.5           4235.2
             1948           1006.9           1911.5           1252.3             64.5           4235.2
             1949           1006.9           1911.5           1252.3             64.5           4235.2
             1950           1006.9           1911.5           1252.3             64.5           4235.2
             1951           1006.9           1911.5           1252.3             64.5           4235.2
             1952           1006.9           1911.5           1252.3             64.5           4235.2
             1953           1006.9           1911.5           1252.3             64.5           4235.2
             1954           1006.9           1911.5           1252.3             64.5           4235.2
             1955           1006.9           1911.5           1252.3             64.5           4235.2
             1956           1006.9           1911.5           1252.3             64.5           4235.2
             1957           1006.9           1911.5           1252.3             64.5           4235.2
             1958           1006.9           1911.5           1252.3             64.5           4235.2
             1959           1006.9           1911.5           1252.3             64.5           4235.2
             1960           1006.9           1911.5           1252.3             64.5           4235.2
             1961           1006.9           1911.5           1252.3             64.5           4235.2
             1962           1006.9           1911.5           1252.3             64.5           4235.2
             1963           1006.9           1911.5           1252.3             64.5           4235.2
             1964           1006.9           1911.5           1252.3             64.5           4235.2
             1965           1006.9           1911.5           1252.3             64.5           4235.2
             1966           1006.9           1911.5           1252.3             64.5           4235.2
             1967           1006.9           1911.5           1252.3             64.5           4235.2
             1968           1006.9           1911.5           1252.3             64.5           4235.2
             1969           1006.9           1911.5           1252.3             64.5           4235.2
             1970           1006.9           1911.5           1252.3             64.5           4235.2
             1971           1006.9           1911.5           1252.3             64.5           4235.2
             1972           1006.9           1911.5           1252.3             64.5           4235.2
             1973           1006.9           1911.5           1252.3             64.5           4235.2
             1974           1006.9           1911.5           1252.3             64.5           4235.2
             1975           1006.9           1911.5           1252.3             64.5           4235.2
             1976           1006.9           1911.5           1252.3             64.5           4235.2
             1977           1006.9           1911.5           1252.3             64.5           4235.2
             1978           1006.9           1911.5           1252.3             64.5           4235.2
             1979           1006.9           1911.5           1252.3             64.5           4235.2
             1980           1006.9           1911.5           1252.3             64.5           4235.2
             1981           1006.9           1911.5           1252.3             64.5           4235.2
             1982           1006.9           1911.5           1252.3             64.5           4235.2
             1983           1006.9           1911.5           1252.3             64.5           4235.2
