! created by Tom FitzHugh 050423 
! Outflow requirement averages derived from a prior CalSim 3 run. Combined column is max of salinity and outflow columns
! From C:\CalSim\DCR_2023\07.08_DCR23_BL_hydfrcst_FAM9_mod2\CALSIM\DSS\output\DCRBL_DV_7.08wsidi_hydrofrcst_FAM9_mod2.dss
CAM_DO_fx2				
month	wyt	salinity	outflow	combined
4	1	585		6000	6000
5	1	143		13154	13154
6	1	0		11391	11391
7	1	1555	9658	9658
8	1	2401	11610	11610
9	1	2802	8809	8809
10	1	5175	8000	8000
11	1	927		5089	5089
12	1	1164	9150	9150
1	1	0		7574	7574
2	1	1160	4500	4500
3	1	2753	4500	4500
4	2	1311	5591	5591
5	2	563		13020	13020
6	2	0		12802	12802
7	2	2831	10656	10656
8	2	4217	10894	10894
9	2	5129	7455	7455
10	2	7305	8000	8000
11	2	1821	6068	6068
12	2	1419	10398	10398
1	2	0		8253	8253
2	2	1044	4500	4500
3	2	3163	4500	4500
4	3	3546	5289	5289
5	3	1817	10431	10431
6	3	0		11438	11438
7	3	5624	9388	9388
8	3	5957	9998	9998
9	3	4249	7779	7779
10	3	6176	6500	6500
11	3	3589	4000	4000
12	3	4396	3000	4396
1	3	3540	4000	4000
2	3	5022	4500	5022
3	3	3849	4500	4500
4	4	4898	5214	5214
5	4	2617	9142	9142
6	4	232		10145	10145
7	4	6324	9881	9881
8	4	7999	8047	8047
9	4	3715	6970	6970
10	4	3254	5000	5000
11	4	2860	3500	3500
12	4	3146	3000	3146
1	4	3542	4000	4000
2	4	5634	4500	5634
3	4	4376	4500	4500
4	5	3536	4900	4900
5	5	4134	8479	8479
6	5	1405	9182	9182
7	5	1220	8614	8614
8	5	411		5148	5148
9	5	979		5231	5231
10	5	1499	4000	4000
11	5	2405	3000	3000
12	5	801		3000	3000
1	5	1997	3000	3000
2	5	5217	3500	5217
3	5	6142	3500	6142
