CAM_EightRiver
YEAR	JAN	FEB	MAR	APR	MAY	JUN
1922	1079	2298	1971	2613	4781	4503
1923	1743	1135	1147	2415	2826	2038
1924	677	957	576	1029	1027	998
1925	819	3178	1849	2311	2478	1923
1926	856	2211	1302	2489	1568	1232
1927	1711	5691	2573	3597	3209	2696
1928	1192	1475	4898	2596	2413	1480
1929	663	946	893	1295	1496	1401
1930	1263	1319	1852	1610	1534	1476
1931	862	709	793	1061	1059	959
1932	1211	1711	1610	1847	2642	2441
1933	779	695	1206	1344	1548	1637
1934	1222	1192	1232	1150	1005	1090
1935	1557	1206	1568	3997	3260	2636
1936	2430	3794	2130	2682	2865	2321
1937	722	2256	2477	2418	3284	2242
1938	1812	5238	7219	4571	5776	4681
1939	836	784	1258	1713	1413	1380
1940	2682	4888	5308	3285	2814	2202
1941	4276	4709	3928	3630	4408	3088
1942	3929	4843	1913	3356	3875	3586
1943	4240	2518	4661	3025	2814	2295
1944	818	1207	1473	1536	2081	1690
1945	981	3118	2075	1967	2696	2340
1946	2386	1558	1674	2385	2631	1838
1947	762	1253	1620	1541	1610	1368
1948	1322	807	1168	2812	2870	2648
1949	661	793	2727	1998	2219	1645
1950	1566	2050	1822	2410	2696	2141
1951	3533	3385	2190	2244	2330	1722
1952	3351	3762	3454	4967	5981	4256
1953	5168	1278	1499	2137	2563	2687
1954	2177	2635	2960	3244	2635	1546
1955	1148	989	1005	1656	1911	1701
1956	7610	3753	2320	2553	4179	3198
1957	857	2288	2684	1919	2578	2174
1958	2425	7599	4417	4683	5196	3901
1959	2116	2291	1657	1662	1520	1523
1960	806	2269	2072	1613	1564	1352
1961	792	1650	1318	1402	1450	1383
1962	828	3045	2098	2464	2304	2312
1963	1430	3622	2079	4960	3608	2576
1964	1278	959	963	1737	1676	1507
1965	5838	1976	2006	3505	2971	2551
1966	1705	1310	2050	2114	1686	1346
1967	3222	2268	3590	3254	4835	4650
1968	1287	3366	1792	1684	1517	1457
1969	7148	4761	3023	4187	6012	3936
1970	9758	3275	2448	1780	1994	1745
1971	2939	1678	3266	2197	2804	2502
1972	1285	1498	2619	1692	1764	1595
1973	3737	3674	2729	2127	3171	2246
1974	6578	1918	6338	4052	3464	2855
1975	916	2513	4622	2145	3681	3532
1976	717	890	971	975	1082	1164
1977	487	593	486	844	704	1108
1978	3486	2851	4324	3242	3448	3324
1979	1513	1955	2171	1898	3116	2107
1980	5736	6053	2794	2377	2904	2856
1981	1258	1437	2079	1490	1592	1429
1982	3310	5395	4271	7387	4544	3276
1983	4414	6515	10046	4330	5370	6706
1984	2942	2191	2812	2104	2433	2019
1985	902	1079	1288	1870	1746	1375
1986	1884	10249	6814	2442	2795	2754
1987	707	1052	1510	1432	1292	1272
1988	1363	909	903	981	1061	1323
1989	722	768	3787	2311	1815	1397
1990	999	807	1193	1214	1094	1181
1991	421	413	1825	1331	1580	1408
1992	622	1647	1316	1212	1264	1119
1993	3186	2467	3614	2992	3760	3209
1994	697	939	1185	1266	1406	1202
