CAM_PF1
YEAR	MONTH	I4_Dem	I5_Dem	Sac_UP	Sac_LO	SCT	CC	
1922	1	34	9	-77	108	225	3	
1922	2	8	7	32	77	111	6	
1922	3	2	6	363	123	28	6	
1922	4	0	6	238	334	10	3	
1922	5	0	6	775	432	12	3	
1922	6	1	7	435	687	12	3	
1922	7	152	14	152	599	0	3	
1922	8	158	15	-58	884	19	3	
1922	9	184	18	-352	894	2	3	
1922	10	175	19	-453	147	88	3	
1922	11	143	17	-399	80	87	3	
1922	12	131	12	-174	251	165	3	
1923	1	13	8	73	79	109	3	
1923	2	6	7	149	169	7	6	
1923	3	2	6	635	265	0	6	
1923	4	1	6	423	558	16	3	
1923	5	1	6	216	149	12	3	
1923	6	17	9	113	130	5	3	
1923	7	118	10	222	568	0	3	
1923	8	184	16	-356	333	37	3	
1923	9	192	18	-394	189	44	3	
1923	10	194	19	-429	14	197	3	
1923	11	158	17	-389	62	173	3	
1923	12	95	11	-62	218	150	3	
1924	1	40	9	-6	101	63	3	
1924	2	11	7	4	62	13	6	
1924	3	2	6	50	34	2	6	
1924	4	0	6	130	235	7	3	
1924	5	0	6	287	273	18	3	
1924	6	1	6	15	18	11	2	
1924	7	111	14	-268	90	11	2	
1924	8	97	14	-302	45	0	2	
1924	9	107	16	-355	-7	74	2	
1924	10	108	16	-375	-16	98	2	
1924	11	81	14	-298	9	50	2	
1924	12	33	11	-108	40	17	2	
1925	1	1	6	24	105	18	2	
1925	2	0	6	112	65	25	4	
1925	3	0	6	263	190	21	4	
1925	4	0	6	197	240	149	2	
1925	5	0	6	1000	2223	127	2	
1925	6	0	6	321	476	15	3	
1925	7	99	13	464	337	91	3	
1925	8	158	14	-25	260	20	3	
1925	9	193	18	-245	29	77	3	
1925	10	202	19	-401	8	151	3	
1925	11	160	17	-331	82	149	3	
1925	12	112	12	-107	217	92	3	
1926	1	43	9	-35	90	32	3	
1926	2	2	7	6	69	13	6	
1926	3	0	6	114	0	6	6	
1926	4	0	6	289	432	9	3	
1926	5	0	6	906	1126	48	3	
1926	6	11	8	144	335	7	3	
1926	7	61	9	245	641	40	3	
1926	8	166	15	-205	159	16	3	
1926	9	200	18	-375	28	41	3	
1926	10	189	19	-407	-16	149	3	
1926	11	153	17	-358	49	133	3	
1926	12	136	12	-128	215	61	3	
1927	1	15	7	20	78	31	3	
1927	2	4	6	424	669	50	6	
1927	3	1	6	617	-41	44	6	
1927	4	0	6	696	744	50	3	
1927	5	0	6	-397	4718	122	3	
1927	6	1	7	780	970	27	3	
1927	7	127	13	409	993	32	3	
1927	8	167	16	-78	578	14	3	
1927	9	183	18	-318	340	10	3	
1927	10	188	19	-411	137	90	3	
1927	11	154	17	-373	97	89	3	
1927	12	136	12	-155	223	165	3	
1928	1	13	8	16	84	40	3	
1928	2	6	7	290	184	18	6	
1928	3	2	6	264	87	0	6	
