CAM_PF2
YEAR	MONTH	SJR	ES	CCD	NBVD	MarshCr
1922	1	135	14	2	7	3
1922	2	109	19	5	6	3
1922	3	169	42	15	5	10
1922	4	172	41	14	3	2
1922	5	369	228	16	3	6
1922	6	480	130	9	6	1
1922	7	412	114	0	6	2
1922	8	444	240	8	7	2
1922	9	700	162	21	6	1
1922	10	133	42	16	5	1
1922	11	126	40	16	5	1
1922	12	117	40	13	7	2
1923	1	244	15	4	7	2
1923	2	109	31	19	6	5
1923	3	284	189	4	5	9
1923	4	447	136	5	5	3
1923	5	347	83	5	4	2
1923	6	182	60	8	5	2
1923	7	369	124	0	6	1
1923	8	323	78	10	6	2
1923	9	158	52	21	6	1
1923	10	130	29	16	5	1
1923	11	124	28	16	5	1
1923	12	114	28	3	7	1
1924	1	129	16	2	7	3
1924	2	92	21	2	6	0
1924	3	102	21	9	5	2
1924	4	100	24	9	1	2
1924	5	107	28	9	1	2
1924	6	102	22	2	3	3
1924	7	103	13	0	3	2
1924	8	97	4	9	3	2
1924	9	74	4	25	2	1
1924	10	73	3	14	0	1
1924	11	48	3	6	0	1
1924	12	63	5	7	3	2
1925	1	98	7	11	3	0
1925	2	88	12	9	3	3
1925	3	91	22	9	2	7
1925	4	79	21	9	1	2
1925	5	155	152	5	2	8
1925	6	158	50	12	3	0
1925	7	267	116	2	4	1
1925	8	249	72	11	4	1
1925	9	126	35	26	3	1
1925	10	109	14	29	2	1
1925	11	102	14	16	2	1
1925	12	99	15	2	4	2
1926	1	116	15	3	4	3
1926	2	85	21	10	3	3
1926	3	92	22	10	2	2
1926	4	85	23	9	2	4
1926	5	112	74	6	2	8
1926	6	108	39	15	4	1
1926	7	210	58	2	4	4
1926	8	188	21	13	5	2
1926	9	93	4	26	5	1
1926	10	87	3	29	4	1
1926	11	57	3	7	4	1
1926	12	72	5	3	5	2
1927	1	102	10	12	6	0
1927	2	108	30	9	5	11
1927	3	122	26	21	4	1
1927	4	109	47	18	2	2
1927	5	255	177	15	3	6
1927	6	232	87	12	6	0
1927	7	338	149	0	6	1
1927	8	335	103	10	7	2
1927	9	138	88	25	6	1
1927	10	114	38	27	5	1
1927	11	106	36	17	5	1
1927	12	97	37	8	7	2
