CAM_PF3
YEAR	MONTH	Oro	Sha	Fol	SWPSL	CVPSL
1922	1	2519	2806	533	165	364
1922	2	2525	2886	544	92	472
1922	3	2523	3041	575	301	624
1922	4	2656	3145	575	631	748
1922	5	2813	3514	575	928	818
1922	6	2922	3904	674	1067	931
1922	7	3446	4376	800	1067	972
1922	8	3538	4509	975	1054	972
1922	9	3538	4169	975	1006	877
1922	10	3007	3703	882	953	599
1922	11	2945	3271	800	640	419
1922	12	2907	3147	650	703	426
1923	1	2948	3240	640	758	494
1923	2	2999	3252	575	874	627
1923	3	2922	3369	575	1067	784
1923	4	2976	3577	575	1067	931
1923	5	3040	3683	519	920	819
1923	6	3163	3809	554	825	859
1923	7	3459	4108	800	805	883
1923	8	3538	3819	975	652	796
1923	9	3312	3418	975	344	603
1923	10	2751	3042	818	253	348
1923	11	2290	2692	773	165	216
1923	12	2224	2664	650	165	240
1924	1	2092	2630	613	165	316
1924	2	1981	2553	561	62	382
1924	3	1760	2514	509	144	486
1924	4	1812	2541	512	288	635
1924	5	1997	2692	565	452	745
1924	6	1957	2708	428	399	712
1924	7	1833	2451	443	417	699
1924	8	1704	2118	448	408	638
1924	9	1499	1716	392	354	507
1924	10	1207	1302	351	297	367
1924	11	1084	1011	340	245	226
1924	12	1001	835	329	267	257
1925	1	1009	854	311	342	326
1925	2	1054	1004	363	440	329
1925	3	1099	1114	438	654	549
1925	4	1237	1373	471	843	777
1925	5	1852	2611	561	1067	970
1925	6	2006	2739	483	998	971
1925	7	2296	3387	800	1067	972
1925	8	2425	3438	975	1067	874
1925	9	2148	3189	856	1067	636
1925	10	1782	2839	670	1067	385
1925	11	1674	2543	601	882	238
1925	12	1611	2438	650	901	272
1926	1	1574	2382	600	930	333
1926	2	1601	2380	569	875	394
1926	3	1601	2430	575	925	444
1926	4	1740	2479	575	1067	605
1926	5	2240	3205	575	1067	720
1926	6	2533	3401	559	1009	856
1926	7	3156	3689	800	1019	903
1926	8	2966	3509	748	844	812
1926	9	2647	3111	584	596	594
1926	10	2200	2671	471	428	344
1926	11	1798	2356	433	298	135
1926	12	1701	2211	468	129	141
1927	1	1594	2207	449	119	131
1927	2	1908	2690	575	303	291
1927	3	1896	3199	575	532	488
1927	4	2198	3668	575	885	694
1927	5	2788	3462	562	1067	883
1927	6	2999	4121	661	1067	955
1927	7	3396	4552	800	1067	952
1927	8	3538	4552	975	999	831
1927	9	3538	4265	975	720	635
1927	10	3161	3804	802	439	327
1927	11	2743	3399	800	346	128
1927	12	2655	3300	650	366	131
1928	1	2603	3250	642	305	167
1928	2	2760	3252	575	462	297
1928	3	2753	3363	575	669	450
1928	4	2928	3648	575	954	573
1928	5	3107	4099	575	1067	652
1928	6	2797	3965	638	1067	749
1928	7	3223	4463	800	1067	760
1928	8	3130	4275	895	882	646
1928	9	2811	3913	670	646	433
1928	10	2467	3274	483	358	228
1928	11	2147	2905	455	183	101
1928	12	1920	2844	500	159	127
1929	1	1760	2831	495	139	162
1929	2	1723	2819	480	124	303
1929	3	1717	2870	474	132	471
1929	4	1768	2985	489	344	623
1929	5	1883	3189	553	488	725
1929	6	2020	3375	633	532	659
1929	7	2059	3415	658	493	574
1929	8	1954	3274	683	486	482
1929	9	1847	3012	587	367	370
1929	10	1652	2561	492	242	242
1929	11	1498	2221	421	125	135
1929	12	1402	2123	403	110	134
1930	1	1348	1997	373	110	152
1930	2	1290	1941	370	110	144
1930	3	1913	2464	544	405	347
1930	4	2193	2674	575	773	554
1930	5	2415	3052	572	861	704
1930	6	2881	3533	672	1067	840
1930	7	3165	3693	800	944	797
1930	8	3281	3578	830	750	681
1930	9	2938	3198	665	557	505
1930	10	2411	2796	518	502	303
1930	11	2004	2419	489	405	135
1930	12	1857	2308	542	345	135
1931	1	1810	2261	436	244	187
1931	2	1814	2257	411	129	227
1931	3	1708	2244	430	129	263
1931	4	1842	2323	465	313	453
1931	5	1968	2408	480	340	520
1931	6	2169	2577	541	317	497
1931	7	2088	2358	511	239	450
1931	8	2002	2073	539	211	388
1931	9	1778	1775	467	146	258
1931	10	1395	1339	384	126	118
1931	11	1165	942	331	110	90
1931	12	1058	764	319	110	108
1932	1	994	651	300	110	127
1932	2	998	646	295	110	196
1932	3	961	837	448	478	417
1932	4	1164	1071	575	899	657
1932	5	1349	1186	575	1067	883
1932	6	1673	1596	673	1067	920
1932	7	1949	1746	784	966	904
1932	8	2278	1932	975	981	912
1932	9	2046	1761	975	1004	815
1932	10	1707	1473	820	1013	701
1932	11	1605	1248	669	841	735
1932	12	1521	1118	650	850	832
1933	1	1425	1044	555	895	936
1933	2	1334	1029	472	911	972
1933	3	1357	1017	499	1028	972
1933	4	1458	1040	521	1067	972
1933	5	1546	1080	539	1067	972
1933	6	1507	1664	602	1067	972
1933	7	1573	1870	500	1041	929
1933	8	1668	1935	568	1017	894
1933	9	1619	1811	559	884	771
1933	10	1444	1507	423	742	640
1933	11	1315	1222	373	609	517
1933	12	1259	1085	360	567	552
1934	1	1219	1002	319	593	623
1934	2	1219	950	316	528	653
1934	3	1231	1073	437	762	876
1934	4	1457	1368	564	1067	972
1934	5	1607	1693	574	1067	972
1934	6	1881	1960	641	1050	939
1934	7	1860	2036	557	931	874
1934	8	1790	1858	528	795	761
1934	9	1614	1511	426	619	590
1934	10	1426	1114	357	435	400
1934	11	1268	769	312	260	221
1934	12	1148	643	285	214	202
1935	1	1018	632	262	260	200
1935	2	1066	733	338	309	292
1935	3	1131	779	401	398	484
1935	4	1363	1112	543	840	712
1935	5	1559	1415	575	931	816
1935	6	1834	1798	675	1067	972
1935	7	2843	2791	800	1067	972
1935	8	3194	3009	949	680	841
1935	9	2924	2682	975	427	799
1935	10	2351	2297	799	327	584
1935	11	1907	1918	711	174	540
1935	12	1630	1762	650	138	589
1936	1	1442	1706	640	113	644
1936	2	1351	1644	575	55	731
1936	3	1136	1652	568	110	854
1936	4	1647	2276	575	497	972
1936	5	2424	3166	570	896	972
1936	6	2827	3529	667	1067	972
1936	7	3217	3757	800	1063	972
1936	8	3397	3650	975	891	972
1936	9	3328	3464	975	545	866
1936	10	2747	3083	817	450	574
1936	11	2293	2692	745	311	490
1936	12	2190	2528	650	200	529
1937	1	1982	2419	600	163	608
1937	2	1878	2334	569	55	628
1937	3	1643	2309	556	135	765
1937	4	1683	2295	575	386	952
1937	5	1854	2388	575	783	972
1937	6	2206	3038	675	1067	972
1937	7	2587	3700	800	1067	972
1937	8	2925	3835	975	1067	972
1937	9	2654	3662	831	889	872
1937	10	2301	3200	643	604	717
1937	11	1948	2826	600	392	580
1937	12	1837	2670	650	230	622
1938	1	1783	2669	614	211	708
1938	2	1961	3231	575	373	859
1938	3	2858	3310	575	617	972
1938	4	2924	3668	575	969	972
1938	5	2788	3560	575	1067	972
1938	6	2788	3416	674	1067	972
1938	7	3277	4058	800	1067	972
1938	8	3538	4552	975	1067	972
1938	9	3538	4500	975	1066	883
1938	10	3262	4150	950	1021	722
1938	11	3234	3700	800	905	521
1938	12	3242	3400	650	979	521
1939	1	3163	3250	645	1067	585
1939	2	3163	3252	575	1067	715
1939	3	3163	3370	575	1067	868
1939	4	3134	3578	575	1067	972
1939	5	3163	3717	575	1067	972
1939	6	3133	4121	675	1067	938
1939	7	3015	3881	670	891	884
1939	8	2832	3571	658	693	725
1939	9	2536	3037	566	375	529
1939	10	2063	2466	424	194	314
1939	11	1529	2086	345	152	135
1939	12	1288	2035	384	110	145
1940	1	1074	1976	390	110	90
