CAM_PF4
YEAR	MONTH	C100MIF	C3MIF	C5MIF	C203MIF	C9MIF	C129MIF
1922	1	23	3	215	105	69	307
1922	2	18	6	193	101	69	298
1922	3	18	6	200	105	50	307
1922	4	18	3	200	105	54	307
1922	5	17	3	180	94	45	278
1922	6	18	3	200	105	180	307
1922	7	32	3	274	60	179	298
1922	8	180	3	482	61	184	307
1922	9	47	3	536	60	173	298
1922	10	28	3	636	61	144	307
1922	11	28	3	548	61	134	307
1922	12	27	3	329	60	71	298
1923	1	23	3	240	105	98	307
1923	2	18	6	193	101	132	298
1923	3	18	6	200	105	54	307
1923	4	18	3	200	105	54	307
1923	5	17	3	180	94	45	278
1923	6	18	3	200	105	154	307
1923	7	32	3	270	60	136	298
1923	8	180	3	460	61	177	307
1923	9	47	3	482	60	159	298
1923	10	28	3	543	61	160	307
1923	11	28	3	458	61	152	307
1923	12	27	3	283	60	113	298
1924	1	23	3	210	105	98	307
1924	2	18	6	193	101	111	298
1924	3	18	6	200	105	52	307
1924	4	18	3	200	105	45	307
1924	5	17	3	187	94	40	288
1924	6	18	2	200	105	45	200
1924	7	36	2	242	45	40	193
1924	8	92	2	325	46	52	200
1924	9	47	2	225	45	30	193
1924	10	28	2	200	46	31	200
1924	11	28	2	200	46	31	200
1924	12	27	2	193	45	25	193
1925	1	23	2	200	55	43	200
1925	2	18	4	193	54	30	193
1925	3	18	4	200	55	31	200
1925	4	18	2	200	55	36	200
1925	5	17	2	180	50	35	180
1925	6	18	3	200	46	101	277
1925	7	32	3	243	45	110	268
1925	8	180	3	401	46	160	277
1925	9	47	3	439	45	142	268
1925	10	28	3	510	46	109	277
1925	11	28	3	424	46	58	277
1925	12	27	3	271	45	29	268
1926	1	23	3	200	55	98	277
1926	2	18	6	193	54	101	268
1926	3	18	6	200	55	53	277
1926	4	18	3	200	55	54	277
1926	5	17	3	180	50	45	250
1926	6	18	3	200	46	80	246
1926	7	32	3	257	45	58	238
1926	8	180	3	426	46	129	246
1926	9	47	3	447	45	95	238
1926	10	28	3	494	46	44	246
1926	11	28	3	397	46	31	246
1926	12	27	3	246	45	27	238
1927	1	23	3	200	55	57	246
1927	2	18	6	193	54	44	238
1927	3	18	6	200	55	54	246
1927	4	18	3	200	55	54	246
1927	5	17	3	180	50	45	222
1927	6	18	3	200	46	110	307
1927	7	32	3	282	60	123	298
1927	8	180	3	492	61	155	307
1927	9	47	3	536	60	107	298
1927	10	28	3	647	61	125	307
1927	11	28	3	558	61	108	307
1927	12	27	3	336	60	71	298
1928	1	23	3	249	105	98	307
1928	2	18	6	193	101	134	298
1928	3	18	6	200	105	54	307
1928	4	18	3	200	105	54	307
1928	5	17	3	187	94	46	288
1928	6	18	3	200	105	62	307
1928	7	32	3	276	60	77	298
1928	8	180	3	489	61	100	307
1928	9	47	3	518	60	93	298
1928	10	28	3	604	61	49	307
1928	11	28	3	495	61	31	307
1928	12	27	3	300	60	27	298
1929	1	23	3	221	105	62	307
1929	2	18	6	193	101	58	298
1929	3	18	6	200	105	41	307
1929	4	18	3	200	105	40	307
1929	5	17	3	180	94	36	278
1929	6	18	3	200	105	52	215
1929	7	36	3	257	45	56	208
1929	8	92	3	404	46	103	215
1929	9	47	3	419	45	57	208
1929	10	28	3	474	46	31	215
1929	11	28	3	379	46	31	215
1929	12	27	3	226	45	26	208
1930	1	23	3	200	55	47	215
1930	2	18	6	193	54	30	208
1930	3	18	6	200	55	31	215
1930	4	18	3	200	55	50	215
1930	5	17	3	180	50	45	194
1930	6	18	3	200	46	62	246
1930	7	32	3	261	45	70	238
1930	8	180	3	426	46	110	246
1930	9	47	3	456	45	82	238
1930	10	28	3	512	46	47	246
1930	11	28	3	418	46	31	246
1930	12	27	3	256	45	27	238
1931	1	23	3	200	55	68	246
1931	2	18	6	193	54	40	238
1931	3	18	6	200	55	32	246
1931	4	18	3	200	55	35	246
1931	5	17	3	180	50	34	222
1931	6	18	2	200	46	48	200
1931	7	36	2	240	45	43	193
1931	8	92	2	299	46	57	200
1931	9	47	2	213	45	37	193
1931	10	28	2	200	46	31	200
1931	11	28	2	200	46	31	200
1931	12	27	2	193	45	25	193
1932	1	23	2	200	55	42	200
1932	2	18	4	193	54	30	193
1932	3	18	4	200	55	31	200
1932	4	18	2	200	55	37	200
1932	5	17	2	187	50	46	187
1932	6	18	2	200	46	125	215
1932	7	32	2	193	45	124	208
1932	8	180	2	200	46	161	215
1932	9	47	2	193	45	142	208
1932	10	28	2	200	46	125	215
1932	11	28	2	200	46	115	215
1932	12	27	2	193	45	35	208
1933	1	23	2	200	55	98	215
1933	2	18	4	193	54	76	208
1933	3	18	4	200	55	40	215
1933	4	18	2	200	55	44	215
1933	5	17	2	180	50	40	194
1933	6	18	2	200	46	49	200
