!Average flows in taf on the San Joaquin at Vernalis, by month and WY type, from an initial CalSim 3 run with BO regulations						
!WY type used here is the SJR 60-20-20 with an additional Super-Wet category added for the wettest years in terms of April-May flow (1938, 1969, 1982-83, and 2006)						
CAM_SJR_MONTHWYTYPE						
month	SW	W	AN	BN	D	C
1	255.1	157.1	204.8	167.6	181.8	153.2
2	186.1	106.7	165.4	124.9	115.5	102.0
3	357.7	199.4	222.7	132.8	100.9	96.2
4	654.0	447.5	272.0	144.9	122.3	114.0
5	923.5	454.7	339.9	170.5	117.3	110.4
6	1375.2	593.7	333.9	183.7	125.6	113.1
7	1276.3	613.8	379.2	241.8	138.9	109.3
8	1235.6	538.3	345.8	270.3	218.9	178.5
9	1091.4	487.5	204.6	179.3	143.4	112.2
10	500.6	306.8	132.8	115.4	98.7	70.9
11	285.1	170.4	102.6	89.9	80.6	58.3
12	232.6	140.9	101.2	93.8	90.7	70.5
