! http://cdec4gov.water.ca.gov/cgi-progs/iodir/WSIHIST		
! water year type index values from cdec		
! data updated on 05/11/2023 to extend to 2021 data		
CAM_SVI		
wy	sac	sjr
1907	14.07	6.2
1908	7.73	2.4
1909	12.10	5.02
1910	9.38	3.65
1911	11.74	6.14
1912	6.71	2.55
1913	6.24	2.39
1914	10.92	4.85
1915	10.99	4.13
1916	10.83	4.73
1917	8.83	4.14
1918	6.19	3.15
1919	7.00	2.91
1920	5.15	3.02
1921	9.20	3.6
1922	8.97	4.54
1923	7.06	3.55
1924	3.87	1.42
1925	6.39	2.93
1926	5.75	2.30
1927	9.52	3.56
1928	8.27	2.63
1929	5.22	2.00
1930	5.90	2.02
1931	3.66	1.20
1932	5.48	3.41
1933	4.63	2.44
1934	4.07	1.44
1935	6.98	3.56
1936	7.75	3.74
1937	6.87	3.90
1938	12.62	5.89
1939	5.58	2.20
1940	8.88	3.36
1941	11.47	4.43
1942	11.27	4.44
1943	9.77	4.03
1944	6.35	2.76
1945	6.80	3.59
1946	7.70	3.30
1947	5.61	2.18
1948	7.12	2.70
1949	6.09	2.53
1950	6.62	2.85
1951	9.18	3.14
1952	12.38	5.17
1953	9.55	3.03
1954	8.51	2.72
1955	6.14	2.30
1956	11.38	4.46
1957	7.83	3.01
1958	12.16	4.77
1959	6.75	2.21
1960	6.20	1.85
1961	5.68	1.38
1962	6.65	3.07
1963	9.63	3.57
1964	6.41	2.19
1965	10.15	3.81
1966	7.16	2.51
1967	10.20	5.25
1968	7.24	2.21
1969	11.05	6.09
1970	10.40	3.18
1971	10.37	2.89
1972	7.29	2.16
1973	8.58	3.50
1974	12.99	3.90
1975	9.35	3.85
1976	5.29	1.57
1977	3.11	0.84
1978	8.65	4.58
1979	6.67	3.67
1980	9.04	4.73
1981	6.21	2.44
1982	12.76	5.45
1983	15.29	7.22
1984	10.00	3.69
1985	6.47	2.40
1986	9.96	4.31
1987	5.86	1.86
1988	4.65	1.48
1989	6.13	1.96
1990	4.81	1.51
1991	4.21	1.96
1992	4.06	1.56
1993	8.54	4.20
1994	5.02	2.05
1995	12.89	5.95
1996	10.26	4.12
1997	10.82	4.13
1998	13.31	5.65
1999	9.80	3.59
2000	8.94	3.38
2001	5.76	2.20
2002	6.35	2.34
2003	8.21	2.81
2004	7.51	2.21
2005	8.49	4.75
2006	13.20	5.90
2007	6.19	1.97
2008	5.16	2.06
2009	5.78	2.72
2010	7.08	3.55
2011	10.54	5.58
2012	6.89	2.18
2013	5.83	1.71
2014	4.07	1.16
2015	4.00	0.81
2016	6.71	2.35
2017	14.14	6.46
2018	7.14	3.03
2019	10.34	4.94
2020	6.12	2.35
2021	3.8		1.32
