! New Baselines version (Jun 2009), based on (version 9B1) Common Assumptions CMP
! 2005 Level of Development Assumptions
! source spreadsheet: BST_SWP_SOD_2005_062709.xls
!
! Demands from SWPAO/O&M spreadsheets not including carryover demands
! month=99 is for carryover demand
CAM_SWPDem_SOD
month   Dem100  Dem50   Dem30   Rem100
4       108.74  7.19    7.20    3180.74
5       94.24   46.83   46.83   3072.00
6       94.88   113.37  113.37  2977.76
7       182.22  190.82  190.82  2882.88
8       270.98  227.17  227.17  2700.66
9       360.73  405.55  405.55  2429.69
10      463.40  490.00  490.00  2068.95
11      458.27  523.67  523.67  1605.55
12      345.12  386.26  386.26  1147.29
1       255.69  379.61  379.61  802.16
2       289.12  302.82  302.82  546.47
3       257.35  249.14  249.14  257.35
99      812.22  734.41  734.41  0
