! defines the percent delivery of Article 56
CAM_swp_a56_del			
month	percent	pct_tot	pct_mon
1	100	0.98	0.01
2	100	0.99	0.01
3	100	1.00	0.01
4	100	0.09	0.09
5	100	0.25	0.16
6	100	0.47	0.22
7	100	0.62	0.15
8	100	0.77	0.15
9	100	0.92	0.15
10	100	0.96	0.04
11	100	0.96	0.00
12	100	0.97	0.01
1	50	0.97	0.02
2	50	0.99	0.02
3	50	1.00	0.01
4	50	0.18	0.18
5	50	0.34	0.16
6	50	0.51	0.17
7	50	0.64	0.14
8	50	0.81	0.17
9	50	0.90	0.09
10	50	0.91	0.01
11	50	0.94	0.03
12	50	0.95	0.01
1	30	0.99	0.02
2	30	1.00	0.01
3	30	1.00	0.00
4	30	0.19	0.19
5	30	0.35	0.16
6	30	0.53	0.18
7	30	0.67	0.14
8	30	0.83	0.16
9	30	0.93	0.10
10	30	0.94	0.02
11	30	0.97	0.02
12	30	0.97	0.00
