! defines the percent delivery of Article 56
CAM_swp_a56_del			
month	percent	pct_tot	pct_mon
1	100	0.98	0.01
2	100	0.99	0.01
3	100	1.00	0.01
4	100	0.09	0.09
5	100	0.25	0.16
6	100	0.47	0.22
7	100	0.62	0.15
8	100	0.77	0.15
9	100	0.92	0.15
10	100	0.96	0.04
11	100	0.96	0.00
12	100	0.97	0.01
1	50	0.99	0.01
2	50	1.00	0.01
3	50	1.00	0.00
4	50	0.07	0.07
5	50	0.18	0.11
6	50	0.32	0.14
7	50	0.52	0.20
8	50	0.76	0.23
9	50	0.90	0.15
10	50	0.93	0.03
11	50	0.96	0.03
12	50	0.98	0.02
1	30	0.99	0.01
2	30	1.00	0.00
3	30	1.00	0.00
4	30	0.06	0.06
5	30	0.16	0.09
6	30	0.27	0.12
7	30	0.43	0.16
8	30	0.64	0.21
9	30	0.85	0.21
10	30	0.93	0.08
11	30	0.97	0.04
12	30	0.98	0.01
