! CVPSL fill targets are set conservatively in Oct-Dec
! In January, if Shasta is above 3250 it can release flow for storage in CVPSL
! But as the year advances, the threshold for targeting CVPSL fill rises to 
! 4000 by March, and inversely, the filling target when shasta is at 3250 
! decreases to 672 by April.
CVPSL_fill_targets      
prvShasta   month   CVPSL_fill
0       1   200
2200    1   400
2500    1   800
3000    1   872
3250    1   972
3400    1   972
4552    1   972
0       2   200
2200    2   500
2500    2   750
3000    2   872
3250    2   972
4552    2   972
0       3   200
2200    3   500
2500    3   750
3000    3   872
3250    3   972
4552    3   972
0       4   200
3250    4   972
3500    4   972
3750    4   972
4000    4   972
4250    4   972
4552    4   972
0       5   200
3250    5   872
3500    5   922
3750    5   972
4000    5   972
4250    5   972
4552    5   972
0       6   200
3250    6   772
3500    6   822
3750    6   872
4000    6   972
4250    6   972
4552    6   972
0       7   200
3250    7   672
3500    7   772
3750    7   872
4000    7   972
4250    7   972
4552    7   972
0       8   972
5000    8   972
0       9   972
5000    9   972
0       10  972
5000    10  972
0       11  972
5000    11  972
0       12  972
5000    12  972
