!Edits by Jim Shannon (JAS), USBR
!Date of Edits: April 8, 2016
!Purpose of Edits: Distribution table changed to match Split Model Demands West of the San Joaquin River.
!                  The distributions were calculated from State Variable time series.
!                  Calculations are presented on tab "CS3 CL-Dist" in "SJR-West_Contract_Limit_Comparison.xlsx"
!________________________________________________________________
! DMC and Mendota Pool/Sack Dam Diversion Distribution							
!sum	1.002	1.001	1.001	1	1	1.001	1.001
!CVP_SOD_Dist							
!month	DMC_AG	DMC_RF	DMC_MI	DMC_EX	MDP_AG	MDP_RF	MDP_EX
!1	0.040	0.258	0.048	0.070	0.040	0.211	0.069
!2	0.014	0.151	0.019	0.023	0.020	0.135	0.023
!3	0.008	0.065	0.009	0.010	0.020	0.062	0.010
!4	0.011	0.026	0.009	0.010	0.030	0.041	0.011
!5	0.030	0.010	0.011	0.025	0.103	0.040	0.029
!6	0.032	0.009	0.026	0.080	0.060	0.038	0.079
!7	0.088	0.040	0.091	0.080	0.070	0.056	0.080
!8	0.134	0.090	0.135	0.110	0.107	0.083	0.110
!9	0.163	0.097	0.161	0.145	0.145	0.105	0.145
!10	0.226	0.018	0.229	0.170	0.175	0.040	0.170
!11	0.175	0.042	0.174	0.167	0.160	0.047	0.167
!12	0.081	0.195	0.089	0.110	0.070	0.143	0.108
CVP_SOD_Dist							
month	DMC_AG	DMC_RF	DMC_MI	DMC_EX	MDP_AG	MDP_RF	MDP_EX
1	0.040	0.257	0.048	0.070	0.040	0.210	0.069
2	0.014	0.151	0.019	0.023	0.020	0.135	0.023
3	0.008	0.065	0.009	0.010	0.020	0.062	0.010
4	0.011	0.026	0.009	0.010	0.030	0.041	0.011
5	0.030	0.010	0.011	0.025	0.103	0.040	0.029
6	0.032	0.009	0.026	0.080	0.060	0.038	0.079
7	0.088	0.040	0.091	0.080	0.070	0.056	0.080
8	0.134	0.090	0.135	0.110	0.107	0.083	0.110
9	0.163	0.097	0.161	0.145	0.145	0.105	0.145
10	0.225	0.018	0.228	0.170	0.175	0.040	0.169
11	0.174	0.042	0.174	0.167	0.160	0.047	0.167
12	0.081	0.195	0.089	0.110	0.070	0.143	0.108
