! Electrical Conductivity values for San Joaquin River arcs.
EC_LookUp_SJR
 Month  C_MCD028  C_DMC111  C_DMC116  C_DMC003  C_EBP050  C_SJR123  C_TUO017  C_SJR075  C_MSN005  C_MCD005  C_STS048  C_ORT001  C_DMC070  C_STS017  C_SJR105  C_SJR179  C_SJR096  C_SJR131  C_SJR115  C_SAL006  C_SJR166  C_SJR070  C_SJR235  C_SJR225  C_SJR249  C_SJR200  C_SJR213  C_SJR263  C_SLD027  R_72_PR5_MSN009  C_MSN009  C_SJR116
     4        56       696       692       582       536      1450       509       881      2508       135        82      3172       595       114      1160       409      1566       786      2401      1762       427       717        57        51        51       430        17     10540      5262             1847      2434      1608
     5        58       644       635       571       529      1316       162      1608      2864       136        82       879       594       108      1192       407      1248      1051      2401      1567       248       725        61        55        56       541        21     10588      4901             2002      2708      1674
     6       197       651       620       535       529      1400       128      1024      2748       133        85      3478       547       108      1304       493      1375      1162      2865      1543       355       689        64        57        56       535        33     10587      5280             2184      2930      1914
     7        66       617       591       436       555      1517        94       733      3431       101       123      1243       478        82      1140       378      1072      1273      2843      1575       480       429        51        46        49       474        34      8265      5445             2511      3811      2099
     8        65       544       531       390       697      1342       653       529      3694        81        69      1169       435        69       882       265       815      1291      2621      1319       491       316        46        41        46       439        38      7456      4943             2049      3630      1947
     9        64       493       463       383       696      1201      2332       641      3973       132        65      1272       404        75      1109       221       858      1336      3082      1145       438       448        45        41        44       369        44      6791      5035             1957      3891      1888
    10        75       398       381       346       611      1196       158       766      4144       184        68      1252       348        76      1172       221       925      1441      1905       991       368       513        44        42        45       335        42      7656      5132             1553      4129      1620
    11        62       444       440       393       336      1074       200       722      3793       186        63      1242       407        80      1121       257       954      1332      1529       978       483       526        42        41        43       221        47      7462      4407             1376      3401      1577
    12        59       507       510       459       345      1343       154       771      3128       183       100      1160       477        87      1026       262       967      1430      1961      1201       355       540        41        39        42       356        34      7164      4641              904      2536      1666
     1        54       495       509       455       534      1307       119       685      1575       105        66       803       475        81       899       412       739      1250      2401      1265     10878       464        39        35        39       465        31      7527      5046             1063      1672      1511
     2       328       551       540       480       534      1369       134       783      2135        85       569       725       525        93       957       348       879       834      2401      1361      1072       650        38        36        37       450        31      8261      5147             1389      2044      1627
     3        46       639       621       576       543      3256       141       868      2153       117        80      4443       602       102      1231       487      1143       901      2401      1695       557       728        45        39        42       463        24     10024      5296             1613      2227      1658
