! FK_delivery_class1.table
! Total Friant-Kern Canal delivery distribution
! written 09.12.2002 by MBK
! Revision on 02/17/2016 by Jim Shannon, USBR: Table revised for "month" rather than "contract_month."
FK_delivery_class1
delivery     month           percent
            0               6      5.0
          650               6      5.0
          800               6      5.0
          900               6      5.6
         1000               6      5.0
         1100               6      4.7
         1200               6      4.3
         1300               6      3.9
         1400               6      3.4
         1500               6      3.0
         1600               6      2.6
         1700               6      2.1
         1800               6      1.7
         1900               6      1.3
         2000               6      0.9
         2100               6      0.4
         2200               6      0.0
            0               7      6.0
          650               7      9.0
          800               7      9.0
          900               7      9.5
         1000               7      8.6
         1100               7      7.9
         1200               7      7.2
         1300               7      6.5
         1400               7      5.7
         1500               7      5.0
         1600               7      4.3
         1700               7      3.6
         1800               7      2.9
         1900               7      2.2
         2000               7      1.4
         2100               7      0.7
         2200               7      0.0
            0               8      9.0
          650               8     13.0
          800               8     13.0
          900               8     12.9
         1000               8     11.7
         1100               8     11.1
         1200               8     10.4
         1300               8      9.8
         1400               8      9.1
         1500               8      8.5
         1600               8      7.9
         1700               8      7.2
         1800               8      6.6
         1900               8      5.9
         2000               8      5.3
         2100               8      4.6
         2200               8      4.0
            0               9     20.0
          650               9     18.5
          800               9     18.5
          900               9     18.0
         1000               9     18.0
         1100               9     18.0
         1200               9     17.7
         1300               9     17.5
         1400               9     16.2
         1500               9     15.2
         1600               9     13.6
         1700               9     13.9
         1800               9     13.7
         1900               9     13.7
         2000               9     13.5
         2100               9     13.7
         2200               9     13.5
            0              10     26.0
          650              10     20.0
          800              10     20.0
          900              10     20.0
         1000              10     21.0
         1100              10     21.2
         1200              10     21.6
         1300              10     21.9
         1400              10     22.2
         1500              10     22.5
         1600              10     22.8
         1700              10     23.0
         1800              10     23.3
         1900              10     23.6
         2000              10     23.9
         2100              10     24.2
         2200              10     24.5
            0              11     15.0
          650              11     18.0
          800              11     18.0
          900              11     17.5
         1000              11     17.9
         1100              11     18.4
         1200              11     18.9
         1300              11     19.4
         1400              11     19.9
         1500              11     20.4
         1600              11     21.0
         1700              11     21.5
         1800              11     22.0
         1900              11     22.5
         2000              11     23.0
         2100              11     23.5
         2200              11     24.0
            0              12      8.0
          650              12      9.0
          800              12      9.0
          900              12      9.0
         1000              12      9.9
         1100              12     10.3
         1200              12     10.8
         1300              12     11.2
         1400              12     11.6
         1500              12     12.0
         1600              12     12.5
         1700              12     12.9
         1800              12     13.3
         1900              12     13.7
         2000              12     14.2
         2100              12     14.6
         2200              12     15.0
            0               1      6.0
          650               1      3.0
          800               1      3.0
          900               1      3.0
         1000               1      3.2
         1100               1      3.6
         1200               1      4.0
         1300               1      4.7
         1400               1      5.1
         1500               1      5.5
         1600               1      6.9
         1700               1      7.2
         1800               1      7.6
         1900               1      7.9
         2000               1      8.3
         2100               1      8.6
         2200               1      9.0
            0               2      2.0
          650               2      0.5
          800               2      0.5
          900               2      0.5
         1000               2      0.6
         1100               2      0.6
         1200               2      0.7
         1300               2      0.7
         1400               2      0.8
         1500               2      1.6
         1600               2      1.8
         1700               2      2.0
         1800               2      2.2
         1900               2      2.4
         2000               2      2.6
         2100               2      2.8
         2200               2      3.0
            0               3      0.0
          650               3      0.5
          800               3      0.5
          900               3      0.5
         1000               3      0.6
         1100               3      0.6
         1200               3      0.7
         1300               3      0.7
         1400               3      0.8
         1500               3      0.9
         1600               3      1.0
         1700               3      1.0
         1800               3      1.0
         1900               3      1.0
         2000               3      1.0
         2100               3      1.0
         2200               3      1.0
            0               4      0.0
          650               4      0.5
          800               4      0.5
          900               4      0.5
         1000               4      0.5
         1100               4      0.6
         1200               4      0.7
         1300               4      0.7
         1400               4      0.8
         1500               4      0.9
         1600               4      1.0
         1700               4      1.0
         1800               4      1.0
         1900               4      1.0
         2000               4      1.0
         2100               4      1.0
         2200               4      1.0
            0               5      3.0
          650               5      3.0
          800               5      3.0
          900               5      3.0
         1000               5      3.0
         1100               5      3.0
         1200               5      3.0
         1300               5      3.0
         1400               5      4.4
         1500               5      4.5
         1600               5      4.6
         1700               5      4.6
         1800               5      4.7
         1900               5      4.8
         2000               5      4.9
         2100               5      4.9
         2200               5      5.0
