! FK_delivery_total.table
! Total Friant-Kern Canal delivery distribution
! written 09.12.2002 by MBK
! Revision on 02/17/2016 by Jim Shannon, USBR: Table revised for "month" rather than "contract_month."
FK_delivery_total
delivery     month           percent
            0               6      5.0
          650               6      5.0
          800               6      5.0
          900               6      5.0
         1000               6      5.0
         1200               6      5.0
         1300               6      5.0
         1400               6      5.0
         1500               6      5.0
         1600               6      5.0
         1700               6      5.0
         1800               6      5.0
         1900               6      5.0
         2000               6      5.0
         2100               6      5.0
         2200               6      5.0
            0               7      6.0
          650               7      9.0
          800               7      9.0
          900               7     10.0
         1000               7     10.0
         1200               7     10.0
         1300               7     10.0
         1400               7     10.0
         1500               7      8.0
         1600               7      5.0
         1700               7      5.0
         1800               7      5.0
         1900               7      5.0
         2000               7      5.0
         2100               7      5.0
         2200               7      5.0
            0               8      9.0
          650               8     13.0
          800               8     13.0
          900               8     13.0
         1000               8     13.0
         1200               8     13.0
         1300               8     13.0
         1400               8     13.0
         1500               8     10.0
         1600               8      8.0
         1700               8      8.0
         1800               8      8.0
         1900               8      8.0
         2000               8      8.0
         2100               8      8.0
         2200               8      8.0
            0               9     20.0
          650               9     18.5
          800               9     18.5
          900               9     18.0
         1000               9     18.0
         1200               9     18.0
         1300               9     18.0
         1400               9     18.0
         1500               9     18.0
         1600               9     14.0
         1700               9     13.0
         1800               9     12.0
         1900               9     11.5
         2000               9     11.0
         2100               9     10.0
         2200               9      9.0
            0              10     26.0
          650              10     20.0
          800              10     20.0
          900              10     20.0
         1000              10     19.5
         1200              10     19.5
         1300              10     19.5
         1400              10     19.5
         1500              10     19.0
         1600              10     18.0
         1700              10     17.0
         1800              10     16.0
         1900              10     15.0
         2000              10     14.0
         2100              10     13.0
         2200              10     12.0
            0              11     15.0
          650              11     18.0
          800              11     18.0
          900              11     17.5
         1000              11     17.0
         1200              11     17.0
         1300              11     17.0
         1400              11     17.0
         1500              11     17.0
         1600              11     16.0
         1700              11     16.0
         1800              11     15.0
         1900              11     14.0
         2000              11     14.0
         2100              11     14.0
         2200              11     14.0
            0              12      8.0
          650              12      9.0
          800              12      9.0
          900              12      9.0
         1000              12      9.0
         1200              12      9.0
         1300              12      9.0
         1400              12      9.0
         1500              12     10.0
         1600              12     10.0
         1700              12     10.0
         1800              12     10.0
         1900              12     10.0
         2000              12     10.0
         2100              12     10.0
         2200              12     10.0
            0               1      6.0
          650               1      3.0
          800               1      3.0
          900               1      3.0
         1000               1      3.0
         1200               1      3.0
         1300               1      3.0
         1400               1      3.0
         1500               1      4.0
         1600               1      7.0
         1700               1      7.0
         1800               1      7.0
         1900               1      7.0
         2000               1      7.0
         2100               1      7.0
         2200               1      7.0
            0               2      2.0
          650               2      0.5
          800               2      0.5
          900               2      0.5
         1000               2      0.5
         1200               2      0.5
         1300               2      0.5
         1400               2      0.5
         1500               2      1.0
         1600               2      2.0
         1700               2      2.0
         1800               2      2.0
         1900               2      2.0
         2000               2      2.0
         2100               2      2.0
         2200               2      2.0
            0               3      0.0
          650               3      0.5
          800               3      0.5
          900               3      0.5
         1000               3      0.5
         1200               3      0.5
         1300               3      0.5
         1400               3      0.5
         1500               3      1.0
         1600               3      2.0
         1700               3      2.0
         1800               3      2.0
         1900               3      2.0
         2000               3      2.0
         2100               3      2.0
         2200               3      2.0
            0               4      0.0
          650               4      0.5
          800               4      0.5
          900               4      0.5
         1000               4      0.5
         1200               4      0.5
         1300               4      0.5
         1400               4      0.5
         1500               4      1.0
         1600               4      2.0
         1700               4      2.0
         1800               4      2.0
         1900               4      2.0
         2000               4      2.0
         2100               4      2.0
         2200               4      2.0
            0               5      3.0
          650               5      3.0
          800               5      3.0
          900               5      3.0
         1000               5      4.0
         1200               5      4.0
         1300               5      4.0
         1400               5      4.0
         1500               5      4.0
         1600               5      7.0
         1700               5      7.0
         1800               5      7.0
         1900               5      7.0
         2000               5      7.0
         2100               5      7.0
         2200               5      7.0
