FRE_Notch
Sac_Flow    Spill
0       0
12532   0
12533   14
13521   33
14492   55
15472   81
16510   108
17536   154
18461   208
19537   275
20460   318
21492   380
22507   469
23510   555
24526   665
25521   784
26466   908
27518   1104
28463   1273
29499   1490
30539   1698
31481   1920
32481   2217
33496   2476
34521   2745
35507   2994
36511   3338
37476   3543
38492   3736
39456   3901
40500   4147
41487   4392
42538   4746
43524   5041
44471   5182
45481   5354
46495   5458
47451   5478
48461   5497
49436   5516
50453   5604
51468   5751
52423   5783
53602   5910
54500   5945
55500   5979
56500   6013
57497   6047
58446   6267
59571   6487
60455   6707
61531   7029
62588   7602
63477   8223
64489   8450
65587   9366
66511   9880
67574   10907
68581   11664
69457   12206
70493   12616
71536   13849
72516   14729
73525   15545
74506   16275
75423   16580
76481   17591
77547   18290
78479   19115
79442   19498
80392   20756
81502   21233
82549   22303
83406   23182
84588   24395
85537   24702
86546   25455
87412   26353
88619   27842
89505   28984
90462   29651
91546   30299
92481   31096
93651   31999
94483   33314
95588   33921
96485   34813
97520   35513
98494   36364
99506   37447
105175  43595
114829  51885
125495  62326
134988  71440
144928  81496
154279  89819
164968  99159
174794  107586
185017  115267
193759  123882
205453  131601
215256  143563
224277  153718
235470  157618
244775  166117
255173  174862
266810  185782
273974  192031
287033  202107
294942  212595
307920  224078
317137  225406
