!Enter the preceding two years worth of flow data for the listed locations                      
!The monthly data should be in chronoligical order with the 1st month representing the first month of the two year period prior to the Position Analysis.                       
HistoricFlow                        
month	SQKS	SQOR	SQFW	SQFP	SQNB	SQSW
1	222	83	29	1637	97	0
2	184	75	0	1634	81	0
3	202	83	0	1210	75	0
4	267	49	0	1116	93	0
5	550	54	0	1060	288	0
6	703	63	0	1248	341	0
7	750	314	0	1052	254	0
8	623	363	0	1006	156	0
9	441	352	0	979	95	0
10	375	176	0	729	100	0
11	349	121	0	786	163	0
12	617	108	42	2726	745	0
13	494	108	2	2162	287	0
14	220	97	0	1357	140	0
15	1273	861	1790	3509	878	0
16	738	552	594	3185	559	0
17	520	637	0	2218	424	0
18	729	497	0	2448	579	0
19	757	165	0	1325	319	0
20	703	182	0	1052	217	0
21	579	344	0	1253	218	0
22	459	237	0	1087	238	0
23	408	142	0	763	142	0
24	315	274	0	897	128	0




























