!Enter the preceding two years worth of flow data for the listed locations. The DCO hydrology is 90%																
!The monthly data should be in chronoligical order with the 1st month representing the first month of the two year period prior to the Position Analysis. unit: TAF                                  																	
HistoricUnimp_Precip                                    										SNS	TLG	EXC	SJF				
month	QOR	QFO	QYU	QSH	QBD	POR	PFO	PYU	PSH	QST	QTU	QME	QSJ	PST	PTU	PME	PSJ
1	387	196	175	494	648	1.05	1.18	1.72	1.87	50	71	38	77	8.15	8.4	7.98	7.6
2	252	139	109	232	318	0.23	0.51	0.67	0.11	52	61	32	71	2.8	2.27	1.62	1.76
3	343	216	164	229	308	1.17	1.44	1.81	1.02	88	112	61	120	3.58	3.39	3.28	3.76
4	444	348	270	261	376	5.27	7.47	8.36	4.35	131	200	107	186	0.91	0.83	0.58	0.39
5	271	273	218	215	329	0.55	0.33	0.77	0.67	121	232	104	215	0.46	0.29	0.14	0.13
6	148	106	80	183	277	1.32	1.22	2.01	1.13	51	85	35	96	0.32	0.29	0.09	0.11
7	98	11	21	152	224	0.12	0.00	0.00	0.08	11	18	12	27	0.52	0.76	0.58	0.53
8	78	4	13	142	208	0.08	0.03	0.21	0.16	6	17	14	36	0.03	0.05	0.09	0.06
9	62	9	13	139	207	2.06	1.35	1.85	0.87	4	13	7	13	0.13	0.09	0.07	0.05
10	57	7	13	141	163	0.03	0.00	0.08	0.06	6	5	6	10	9.21	7.32	5.83	5.59
11	93	19	26	160	212	4.13	5.14	5.50	3.10	11	24	10	29	1.29	1.1	0.98	0.92
12	470	498	277	287	521	15.17	20.02	23.31	10.71	150	211	122	160	3.52	2.71	2.14	1.87
13	1170	873	544	1124	2076	13.72	19.48	21.67	14.49	328	528	350	389	3.48	3.41	3.15	2.6
14	349	226	154	308	499	4.20	5.54	6.96	3.80	96	119	87	142	2.76	2.4	1.71	1.27
15	1249	915	636	1147	2064	12.87	16.32	20.50	13.33	373	602	464	544	4.49	4.46	4.31	4.78
16	1238	655	460	860	1273	1.34	1.06	1.88	1.92	326	454	290	530	1.7	1.52	1.34	1.7
17	1273	845	687	650	997	1.29	1.61	2.27	2.53	560	845	530	951	0.17	0.26	0.33	0.31
18	531	478	405	317	504	1.38	0.28	1.03	0.98	437	809	475	892	0	0	0	0
19	175	133	97	232	312	0.03	0.00	0.00	0.05	187	444	208	626	0	0	0	0
20	124	42	37	207	269	0.78	0.60	0.79	0.94	39	79	42	168	0	0	0	0.04
21	107	35	32	189	255	1.11	1.04	1.42	1.13	26	30	24	66	0	0	0	0
22	100	25	31	189	246	0.41	1.34	1.57	0.54	13	19	9	38	0	0	0	0
23	81	14	23	221	201	3.13	3.84	4.61	4.71	8	26	8	18	1.29	1.1	0.98	0.92
24	340	24	88	337	376	3.86	5.26	7.29	3.67	16	34	8	16	3.52	2.71	2.14	1.87
