!Enter the preceding two years worth of flow data for the listed locations                                  																	
!The monthly data should be in chronoligical order with the 1st month representing the first month of the two year period prior to the Position Analysis.                                   																	
HistoricUnimp_Precip                                    																	
month	QOR	QFO	QYU	QSH	QBD	POR	PFO	PYU	PSH	QST	QTU	QME	QSJ	PST	PTU	PME	PSJ
1	348	144	137	927	1577	11.18	9.38	13.44	14.06	12.97	19.3	9.39	28.9	1.39	1.37	1.01	1.11
2	315	161	135	836	1356	4.87	6.57	7.77	7.12	12.29	5.4	6.54	18.7	0.49	0.09	0	0.01
3	438	254	204	637	925	5.56	6.65	8.61	5.44	37.26	48.2	20.11	39.3	6.34	5.09	3.82	3.26
4	618	403	328	734	1112	6.28	8.64	11.53	6.52	27.11	33.5	16.48	34.9	2.11	1.56	1.59	1
5	683	521	406	580	835	3.08	4.78	5.72	2.79	88.88	106.8	44.19	75.4	7.7	5.52	4.68	3.99
6	549	537	427	485	679	0.34	0.13	0.33	1.06	202.28	289.2	149.36	209.3	5.02	4.61	3.99	2.45
7	181	78	71	254	352	0.24	0.01	0.01	0.09	135.76	250.6	117.21	244.4	0.12	0.07	0.12	0.1
8	94	13	22	215	284	0.11	0.02	0.11	0.34	41.19	56.6	26.35	76.9	0.82	0.61	0.49	0.09
9	80	8	19	197	263	0.17	0	0.03	0.65	15.28	13	7.95	28.3	0.01	0.02	0.05	0.1
10	136	102	72	236	336	6.29	8.44	10.16	5.63	10.06	7.6	4.51	21.7	0.03	0.66	0.19	1.03
11	153	96	91	262	373	6.95	9.33	12.5	4.76	3.24	4.1	3.26	6.3	0.13	0.05	0.01	0
12	797	662	554	823	1318	14.97	17.32	22.67	12.53	7.74	3.5	1.94	10.6	1.41	0.94	1.11	0.81
13	359	259	205	463	705	1.6	2.72	3.22	1.33	22.89	32.8	9.12	27.6	7.89	5.46	4.2	2.98
14	373	228	186	489	708	8.65	7.02	10.3	6.34	118.5	192.1	81.05	87.7	12.15	10.86	9.33	5.21
15	1112	869	611	1481	2326	15.37	20.47	25.42	15.63	44.85	73.3	31.55	51.9	1.22	1.03	1.09	1.17
16	1162	737	603	942	1389	2.85	3.02	4.91	2.67	42.71	49.5	24.84	45.3	0.93	0.61	0.52	0.28
17	983	684	549	725	980	4.31	4.34	5.14	3.48	86.46	125.5	58.82	95.7	2.72	2.75	2.32	0.96
18	903	765	631	565	818	2.58	3.58	4.5	2.3	131.9	232.2	122.83	189.8	1.33	1.19	1.01	0.51
19	350	317	234	297	423	0	0	0	0.14	111.19	245.8	102.16	200.5	0.63	0.76	0.88	0.32
20	147	55	61	222	304	0	0	0	0	36.49	98.8	33.26	96.1	0.52	0.41	0.16	0.03
21	104	27	26	209	255	0.31	0.16	0.11	0.16	10.28	20.2	8.94	32.6	0	0.02	0.14	0.31
22	124	57	47	222	319	3.32	4.44	5.24	2.59	10.06	8.9	3.28	13.4	0	0.04	0.04	0.25
23	118	23	36	242	341	2.3	2.32	3.61	3.09	3.76	4.4	1.27	5.5	0.67	0.52	0.73	0.41
24	85	25	25	211	311	0.27	0.14	0.31	0.66	7.45	5.3	1.57	9.4	0.55	0.86	0.75	0.5
