!Cumulative fraction of annual demands remaining to be supplied
!Computed using demand patterns for all years and averaging the monthly demands
!Ratio of average demands per month / total demand (1 is Jan, 12 is December)
MFP_DemandFractions
Month	UD_26N_PU1	UD_26N_NU1	UD_26N_PU3	UD_26N_PU2
1	1	1	1	1
2	0.946534642	0.943432738	0.951885941	0.95310406
3	0.904995053	0.896661982	0.913905522	0.915325467
4	0.866031967	0.851324087	0.874900424	0.879772242
5	0.828840183	0.810541931	0.840522648	0.847738535
6	0.776658665	0.752620295	0.795133321	0.803760421
7	0.709841513	0.691067321	0.725258261	0.739871041
8	0.611694231	0.599201458	0.629041769	0.643939767
9	0.489359493	0.48092183	0.502082193	0.512762322
10	0.346553543	0.341409488	0.350741994	0.358825678
11	0.209287893	0.202912246	0.20488457	0.21022099
12	0.092733562	0.087405328	0.080244693	0.088131924
