!MIF forecasts using perfect foresight for MFP hydropower supply forecasting						
!Values in TAF						
!Identifiers: 1=MIF_RUB044; 2=MIF_LRB003; 3=MIF_DCC008(current license); 4=MIF_MFA047(current license)						
MFPpow_forecast						
Month	Identifier	Critical	Dry	BelowNormal	AboveNormal	Wet
1	1	1.09	1.09	1.09	1.09	1.09
2	1	0.73	0.73	0.73	0.73	0.73
3	1	0.37	0.37	0.37	0.37	0.37
4	1	0.00	0.00	0.00	0.00	0.00
5	1	0.00	0.00	0.00	0.00	0.00
6	1	0.00	0.00	0.00	0.00	0.00
7	1	0.00	0.00	0.00	0.00	0.00
8	1	3.16	3.59	5.23	5.23	5.23
9	1	2.55	2.67	3.08	3.08	3.08
10	1	2.19	2.19	2.19	2.19	2.19
11	1	1.82	1.82	1.82	1.82	1.82
12	1	1.45	1.45	1.45	1.45	1.45
1	2	0.18	0.18	0.18	0.18	0.18
2	2	0.12	0.12	0.12	0.12	0.12
3	2	0.06	0.06	0.06	0.06	0.06
4	2	0.00	0.00	0.00	0.00	0.00
5	2	0.00	0.00	0.00	0.00	0.00
6	2	0.00	0.00	0.00	0.00	0.00
7	2	0.00	0.00	0.00	0.00	0.00
8	2	0.55	0.67	1.04	1.04	1.04
9	2	0.42	0.48	0.54	0.54	0.54
10	2	0.36	0.36	0.36	0.36	0.36
11	2	0.30	0.30	0.30	0.30	0.30
12	2	0.24	0.24	0.24	0.24	0.24
1	3	0.73	1.46	1.46	1.46	1.46
2	3	0.48	0.97	0.97	0.97	0.97
3	3	0.25	0.49	0.49	0.49	0.49
4	3	0.00	0.00	0.00	0.00	0.00
5	3	0.00	0.00	0.00	0.00	0.00
6	3	0.00	0.00	0.00	0.00	0.00
7	3	0.00	0.00	0.00	0.00	0.00
8	3	1.95	2.74	3.04	3.65	3.65
9	3	1.15	1.88	2.00	2.17	2.17
10	3	0.73	1.46	1.46	1.46	1.46
11	3	0.73	1.46	1.46	1.46	1.46
12	3	0.73	1.46	1.46	1.46	1.46
1	4	1.46	1.64	1.82	2.01	2.37
2	4	0.97	1.09	1.21	1.33	1.57
3	4	0.49	0.55	0.61	0.68	0.80
4	4	0.00	0.00	0.00	0.00	0.00
5	4	0.00	0.00	0.00	0.00	0.00
6	4	0.00	0.00	0.00	0.00	0.00
7	4	0.00	0.00	0.00	0.00	0.00
8	4	4.07	4.74	5.16	6.20	6.99
9	4	3.40	3.94	4.36	4.97	5.76
10	4	2.92	3.28	3.65	4.01	4.74
11	4	2.43	2.73	3.03	3.34	3.95
12	4	1.94	2.18	2.42	2.66	3.15
