!Minimum streamflow requirements for Project 184												
!Minimum flows are based on FERC License No. 184-065 (Condition No.31)												
!Values in cfs												
MIF_EID												
Month	Identifier	CriticalDry	Dry	BelowNormal	AboveNormal	Wet	EOMCritical	EOMDry	EOMBelowNormal	EOMAboveNormal	EOMWet	
1	1	6	6	6	6	6	0	0	0	0	0	!Below Echo Lake
2	1	6	6	6	6	6	0	0	0	0	0	
3	1	6	6	6	6	6	0	0	0	0	0	
4	1	6	6	6	6	6	30	43	63	101	101	
5	1	6	6	6	10	10	24	37	57	95	95	
6	1	6	6	6	15	15	18	31	51	85	85	
7	1	6	10	15	25	25	12	25	45	70	70	
8	1	6	15	30	45	45	6	15	30	45	45	
9	1	6	15	30	40	40	0	0	0	0	0	
10	1	6	10	15	20	20	0	0	0	0	0	
11	1	6	6	6	6	6	0	0	0	0	0	
12	1	6	6	6	6	6	0	0	0	0	0	
1	2	1	1	2	3	3	0	0	0	0	0	!Pyramid Creek
2	2	1	3	4	5	5	0	0	0	0	0	
3	2	2	3	5	6	6	0	0	0	0	0	
4	2	2	3	5	6	6	14	27	41	55	55	
5	2	2	4	6	8	8	12	24	36	49	49	
6	2	2	5	7	10	10	10	20	30	41	41	
7	2	3	5	8	11	11	8	15	23	31	31	
8	2	5	10	15	20	20	5	10	15	20	20	
9	2	5	10	14	19	19	0	0	0	0	0	
10	2	2	4	6	8	8	0	0	0	0	0	
11	2	1	2	3	4	4	0	0	0	0	0	
12	2	1	1	2	2	2	0	0	0	0	0	
1	3	5	5	5	5	5	0	0	0	0	0	!Below Caples
2	3	5	6	8	10	10	0	0	0	0	0	
3	3	5	7	10	10	10	0	0	0	0	0	
4	3	5	7	10	15	15	39	63	93	130	130	
5	3	5	7	10	15	15	34	56	83	115	115	
6	3	5	10	15	20	20	29	49	73	100	100	
7	3	10	12	18	25	25	24	39	58	80	80	
8	3	14	27	40	55	55	14	27	40	55	55	
9	3	14	28	42	55	55	0	0	0	0	0	
10	3	12	25	35	50	50	0	0	0	0	0	
11	3	5	5	6	8	8	0	0	0	0	0	
12	3	5	5	5	5	5	0	0	0	0	0	
1	4	8	8	8	8	8	0	0	0	0	0   
2	4	8	8	10	16	16	0	0	0	0	0	
3	4	8	8	10	16	16	0	0	0	0	0	
4	4	8	8	12	16	16	42	71	195	224	224	
5	4	8	10	17	23	23	34	63	183	208	208	
6	4	8	15	26	35	35	26	53	166	185	185	
7	4	8	18	50	50	50	18	38	140	150	150	
8	4	10	20	90	100	100	10	20	90	100	100	
9	4	8	10	60	60	60	0	0	0	0	0	
10	4	8	8	18	20	20	0	0	0	0	0	
11	4	8	8	8	8	8	0	0	0	0	0	
12	4	8	8	8	8	8	0	0	0	0	0	
1	5	15	15	40	50	50	0	0	0	0	0	
2	5	15	18	40	50	50	0	0	0	0	0	
3	5	15	25	40	50	50	0	0	0	0	0	
4	5	15	25	40	50	50	185	355	550	630	630	
5	5	20	30	40	50	50	170	330	510	580	580	
6	5	30	60	110	110	110	150	300	470	530	530	
7	5	60	120	180	180	180	120	240	360	420	420	
8	5	60	120	180	240	240	60	120	180	240	240	
9	5	60	120	180	240	240	0	0	0	0	0	
10	5	40	85	125	160	160	0	0	0	0	0	
11	5	18	18	65	65	65	0	0	0	0	0	
12	5	15	15	50	50	50	0	0	0	0	0	
1	6	25	25	25	25	25	0	0	0	0	0 !Alder Creek	
2	6	5	5	5	5	5	0	0	0	0	0	
3	6	5	5	5	5	5	0	0	0	0	0	
4	6	5	5	10	10	10	85	100	185	230	230	
5	6	5	5	10	10	10	80	95	175	220	220	
6	6	25	25	45	45	45	75	90	165	210	210	
7	6	25	35	65	90	90	50	65	120	165	165	
8	6	25	30	55	75	75	25	30	55	75	75	
9	6	25	25	25	25	25	0	0	0	0	0	
10	6	25	25	25	25	25	0	0	0	0	0	
11	6	25	25	25	25	25	0	0	0	0	0	
12	6	25	25	25	25	25	0	0	0	0	0	
1	7	10	10	10	10	10	0	0	0	0	0	
2	7	10	10	10	10	10	0	0	0	0	0	
3	7	10	10	10	10	10	0	0	0	0	0	
4	7	10	10	10	10	10	50	50	50	50	50	
5	7	10	10	10	10	10	40	40	40	40	40	
6	7	10	10	10	10	10	30	30	30	30	30	
7	7	10	10	10	10	10	20	20	20	20	20	
8	7	10	10	10	10	10	10	10	10	10	10	
9	7	10	10	10	10	10	0	0	0	0	0	
10	7	10	10	10	10	10	0	0	0	0	0	
11	7	10	10	10	10	10	0	0	0	0	0	
12	7	10	10	10	10	10	0	0	0	0	0	
1	8	30	30	30	30	30	0	0	0	0	0	
2	8	30	30	30	30	30	0	0	0	0	0	
3	8	30	30	30	30	30	0	0	0	0	0	
4	8	30	30	30	30	30	150	150	150	150	150	
5	8	30	30	30	30	30	120	120	120	120	120	
6	8	30	30	30	30	30	90	90	90	90	90	
7	8	30	30	30	30	30	60	60	60	60	60	
8	8	30	30	30	30	30	30	30	30	30	30	
9	8	30	30	30	30	30	0	0	0	0	0	
10	8	30	30	30	30	30	0	0	0	0	0	
11	8	30	30	30	30	30	0	0	0	0	0	
12	8	30	30	30	30	30	0	0	0	0	0	
