! Minimum streamflow requirements for Middle Fork Project							
! Flow requirements developed from Condition 22 of FERC Middle Fork Project No.2079 License							
! Values in cfs							
! Identifiers: 1=DCC008, 2=MFA047, 3=MFA035, 4=RUB999, 5=NLC002, 6=SLC002, 7=MFA023 (MIF+recreational req.)						
MIF_MFP							
Month	Identifier	ExCritical	Critical	Dry	BelowNormal	AboveNormal	Wet
1	1	4	4	8	8	8	8
2	1	4	4	8	8	8	8
3	1	4	4	8	8	8	8
4	1	4	4	8	8	8	8
5	1	4	4	8	8	8	8
6.1	1	4	4	8	8	8	8
6.2	1	9	9	11	13	16	16
7	1	13	13	14	17	24	24
8	1	13	13	14	17	24	24
9	1	7	7	7	9	12	12
1	2	8	8	9	10	11	13
2	2	8	8	9	10	11	13
3	2	8	8	9	10	11	13
4	2	8	8	9	10	11	13
5	2	8	8	9	10	11	13
6.1	2	8	8	9	10	11	13
6.2	2	11	11	11	11	15	16
7	2	11	11	13	13	20	20
8	2	11	11	13	13	20	20
9	2	8	8	11	12	16	17
10	2	8	8	9	10	11	13
11	2	8	8	9	10	11	13
12	2	8	8	9	10	11	13
1	3	12	12	24	24	25	25
2	3	12	12	24	24	25	25
3	3	12	12	24	24	25	25
4	3	12	12	24	24	25	25
5	3	12	12	24	24	25	25
6.1	3	12	12	24	24	25	25
6.2	3	16	16	25	32	45	47
7	3	18	18	27	40	65	65
8	3	18	18	27	40	65	65
9	3	12	12	24	24	45	47
10	3	12	12	18	24	26	34
11	3	12	12	18	24	26	34
12	3	12	12	18	24	26	34
1	4	15	15	20	20	25	25
2	4	15	15	20	20	25	25
3	4	15	15	20	20	25	25
4	4	15	15	20	20	25	25
5	4	15	15	20	20	25	25
6.1	4	15	15	20	20	25	25
6.2	4	31	31	35	42	55	60
7	4	31	31	35	42	55	60
8	4	23	23	35	42	55	60
9	4	17	17	24	26	45	45
10	4	15	15	20	20	30	30
11	4	15	15	20	20	30	30
12	4	15	15	20	20	30	30
1	5	2	2	2	2	2	2
2	5	2	2	2	2	2	2
3	5	2	2	2	2	2	2
4	5	2	2	2	2	2	2
5	5	2	2	2	2	2	2
6.1	5	2	2	2	2	2	2
6.2	5	6	6	10	7	7	7
7	5	6	6	10	10	11	11
8	5	4	4	8	10	11	11
9	5	2	2	5	5	6	6
1	6	2.5	2.5	5	5	5	5
2	6	2.5	2.5	5	5	5	5
3	6	2.5	2.5	5	5	5	5
4	6	2.5	2.5	5	5	5	5
5	6	2.5	2.5	5	5	5	5
6.1	6	2.5	2.5	5	5	5	5
6.2	6	5	5	9	9	9	9
7	6	6	6	12	12	14	14
8	6	6	6	12	12	14	14
9	6	3	3	5	6	7	7
1	7	90	125	140	165	165	200
2	7	90	140	145	185	225	250
3	7	90	140	145	185	225	250
4	7	90	140	145	185	225	250
5	7	90	140	145	185	225	205
6	7	95	150	178	238	300	350
7	7	100	160	210	290	375	450
8	7	105	166	216	303	378	453
9	7	132	221	283	348	396	439
10	7	130	218	268	341	405	447
11	7	130	218	268	341	405	447
12	7	103	170	220	287	336	391
