!Minimum streamflows developed from Appendix A, Table 2 of Chili Bar FERC License (Project No. 2155)					
!Values in cfs						
MIF_PGECh						
Month	SuperDry	CriticalDry	Dry	BelowNormal	AboveNormal	Wet
1	150	185	200	250	250	250
2	150	185	200	200	200	250
3	150	185	200	200	200	250
4	150	185	200	200	200	250
5	150	185	200	200	200	250
6	150	185	200	200	200	250
7	150	200	250	250	300	350
8	150	200	250	250	350	500
9	200	200	250	250	350	500
10	150	185	200	250	300	350
11	150	185	200	250	300	300
12	150	185	200	250	250	250
