!Total flow-weighted requirements, developed from recreational and instream flow requirements						
!Flow requirements are described in Appendix A of Chili Bar FERC License (Project No. 2155)						
!See ChiliBar_Ops.wresl for description of how flow requirements were developed						
!Values in cfs						
MIF_PGECh_req						
Month	SuperDry	CriticalDry	Dry	BelowNormal	AboveNormal	Wet	EOMCritical	EOMDry	EOMBelowNormal	EOMAboveNormal	EOMWet
1	171	205	239	332	332	332	0	0	0	0	0
2	171	205	239	239	247	288	0	0	0	0	0
3	171	205	239	239	246	287	0	0	0	0	0
4	171	205	239	240	247	288	1188	1496	1557	1838	2281
5	171	205	239	240	247	288	983	1257	1317	1591	1993
6	171	245	305	325	372	469	778	1018	1077	1344	1705
7	212	259	351	370	458	553	533	713	752	972	1236
8	224	274	362	382	514	683	274	362	382	514	683
9	324	336	399	414	553	708	0	0	0	0	0
10	280	323	356	414	511	587	0	0	0	0	0
11	280	323	356	414	511	547	0	0	0	0	0
12	206	258	273	345	355	362	0	0	0	0	0

