! Madera_delivery_class1.table
! Madera Canal Class1 delivery distribution
! written 09.12.2002 by MBK
! Revision on 02/17/2016 by Jim Shannon, USBR: Table revised for "month" rather than "contract_month."
Madera_delivery_class1
delivery     month           percent
            0               6      0.0
          800               6      0.0
          900               6      0.0
         1000               6      0.0
         1100               6      0.0
         1200               6      0.0
         1300               6      0.0
         1400               6      0.0
         1500               6      0.0
         1600               6      0.0
         1700               6      0.0
         1800               6      0.0
         1900               6      0.0
         2000               6      0.0
         2100               6      0.0
         2200               6      0.0
            0               7      0.0
          800               7      0.0
          900               7      0.0
         1000               7      0.0
         1100               7      0.0
         1200               7      0.0
         1300               7      0.0
         1400               7      0.0
         1500               7      0.0
         1600               7      0.0
         1700               7      0.0
         1800               7      0.0
         1900               7      0.0
         2000               7      0.0
         2100               7      0.0
         2200               7      0.0
            0               8      9.0
          800               8      9.0
          900               8      9.0
         1000               8      9.0
         1100               8      9.0
         1200               8      8.4
         1300               8      0.0
         1400               8      0.0
         1500               8      0.0
         1600               8      0.0
         1700               8      0.0
         1800               8      0.0
         1900               8      0.0
         2000               8      0.0
         2100               8      0.0
         2200               8      0.0
            0               9     28.0
          800               9     28.0
          900               9     28.0
         1000               9     28.0
         1100               9     27.0
         1200               9     24.0
         1300               9     22.0
         1400               9     22.0
         1500               9     20.5
         1600               9     18.0
         1700               9     16.0
         1800               9      8.0
         1900               9      8.0
         2000               9      8.0
         2100               9      8.0
         2200               9      8.0
            0              10     35.0
          800              10     35.0
          900              10     35.0
         1000              10     35.0
         1100              10     34.0
         1200              10     34.0
         1300              10     30.0
         1400              10     30.0
         1500              10     30.0
         1600              10     30.0
         1700              10     30.0
         1800              10     22.0
         1900              10     17.0
         2000              10     17.0
         2100              10     17.0
         2200              10     17.0
            0              11     24.0
          800              11     24.0
          900              11     24.0
         1000              11     24.0
         1100              11     26.0
         1200              11     27.0
         1300              11     30.0
         1400              11     30.0
         1500              11     30.0
         1600              11     30.0
         1700              11     30.0
         1800              11     30.0
         1900              11     30.0
         2000              11     30.0
         2100              11     30.0
         2200              11     30.0
            0              12      4.0
          800              12      4.0
          900              12      4.0
         1000              12      4.0
         1100              12      4.0
         1200              12      6.0
         1300              12     15.0
         1400              12     15.0
         1500              12     15.0
         1600              12     15.0
         1700              12     15.0
         1800              12     24.0
         1900              12     24.0
         2000              12     24.0
         2100              12     24.0
         2200              12     24.0
            0               1      0.0
          800               1      0.0
          900               1      0.0
         1000               1      0.0
         1100               1      0.0
         1200               1      0.3
         1300               1      2.0
         1400               1      2.0
         1500               1      2.5
         1600               1      5.0
         1700               1      7.0
         1800               1     10.0
         1900               1     15.0
         2000               1     15.0
         2100               1     15.0
         2200               1     15.0
            0               2      0.0
          800               2      0.0
          900               2      0.0
         1000               2      0.0
         1100               2      0.0
         1200               2      0.3
         1300               2      1.0
         1400               2      1.0
         1500               2      2.0
         1600               2      2.0
         1700               2      2.0
         1800               2      3.0
         1900               2      3.0
         2000               2      3.0
         2100               2      3.0
         2200               2      3.0
            0               3      0.0
          800               3      0.0
          900               3      0.0
         1000               3      0.0
         1100               3      0.0
         1200               3      0.0
         1300               3      0.0
         1400               3      0.0
         1500               3      0.0
         1600               3      0.0
         1700               3      0.0
         1800               3      0.0
         1900               3      0.0
         2000               3      0.0
         2100               3      0.0
         2200               3      0.0
            0               4      0.0
          800               4      0.0
          900               4      0.0
         1000               4      0.0
         1100               4      0.0
         1200               4      0.0
         1300               4      0.0
         1400               4      0.0
         1500               4      0.0
         1600               4      0.0
         1700               4      0.0
         1800               4      0.0
         1900               4      0.0
         2000               4      0.0
         2100               4      0.0
         2200               4      0.0
            0               5      0.0
          800               5      0.0
          900               5      0.0
         1000               5      0.0
         1100               5      0.0
         1200               5      0.0
         1300               5      0.0
         1400               5      0.0
         1500               5      0.0
         1600               5      0.0
         1700               5      0.0
         1800               5      3.0
         1900               5      3.0
         2000               5      3.0
         2100               5      3.0
         2200               5      3.0
