! Mar_snowmelt_release_pattern.table
! Friant Snowmelt release pattern for March
! written 09.12.2002 by MBK/BT
! Revision on 02/17/2016 by Jim Shannon, USBR: Table revised for "month" rather than "contract_month."
Mar_snowmelt_release_pattern
forecast_spill	month	percent
0	6	0.0
100	6	0.0
200	6	0.0
300	6	25.0
400	6	20.0
500	6	16.7
600	6	14.3
700	6	25.0
800	6	22.2
900	6	20.0
1000	6	18.2
1100	6	25.0
1200	6	23.1
1300	6	21.4
1400	6	21.4
0	7	0.0
100	7	0.0
200	7	33.3
300	7	25.0
400	7	20.0
500	7	16.7
600	7	28.6
700	7	25.0
800	7	22.2
900	7	20.0
1000	7	27.3
1100	7	25.0
1200	7	23.1
1300	7	21.4
1400	7	21.4
0	8	0.0
100	8	50.0
200	8	33.3
300	8	25.0
400	8	20.0
500	8	33.3
600	8	28.6
700	8	25.0
800	8	22.2
900	8	30.0
1000	8	27.3
1100	8	25.0
1200	8	23.1
1300	8	28.6
1400	8	28.6
0	9	100.0
100	9	50.0
200	9	33.3
300	9	25.0
400	9	40.0
500	9	33.3
600	9	28.6
700	9	25.0
800	9	33.3
900	9	30.0
1000	9	27.3
1100	9	25.0
1200	9	30.8
1300	9	28.6
1400	9	28.6
0	10	0.0
100	10	0.0
200	10	0.0
300	10	0.0
400	10	0.0
500	10	0.0
600	10	0.0
700	10	0.0
800	10	0.0
900	10	0.0
1000	10	0.0
1100	10	0.0
1200	10	0.0
1300	10	0.0
1400	10	0.0
0	11	0.0
100	11	0.0
200	11	0.0
300	11	0.0
400	11	0.0
500	11	0.0
600	11	0.0
700	11	0.0
800	11	0.0
900	11	0.0
1000	11	0.0
1100	11	0.0
1200	11	0.0
1300	11	0.0
1400	11	0.0
0	12	0.0
100	12	0.0
200	12	0.0
300	12	0.0
400	12	0.0
500	12	0.0
600	12	0.0
700	12	0.0
800	12	0.0
900	12	0.0
1000	12	0.0
1100	12	0.0
1200	12	0.0
1300	12	0.0
1400	12	0.0
0	1	0.0
100	1	0.0
200	1	0.0
300	1	0.0
400	1	0.0
500	1	0.0
600	1	0.0
700	1	0.0
800	1	0.0
900	1	0.0
1000	1	0.0
1100	1	0.0
1200	1	0.0
1300	1	0.0
1400	1	0.0
0	2	0.0
100	2	0.0
200	2	0.0
300	2	0.0
400	2	0.0
500	2	0.0
600	2	0.0
700	2	0.0
800	2	0.0
900	2	0.0
1000	2	0.0
1100	2	0.0
1200	2	0.0
1300	2	0.0
1400	2	0.0
0	3	0.0
100	3	0.0
200	3	0.0
300	3	0.0
400	3	0.0
500	3	0.0
600	3	0.0
700	3	0.0
800	3	0.0
900	3	0.0
1000	3	0.0
1100	3	0.0
1200	3	0.0
1300	3	0.0
1400	3	0.0
0	4	0.0
100	4	0.0
200	4	0.0
300	4	0.0
400	4	0.0
500	4	0.0
600	4	0.0
700	4	0.0
800	4	0.0
900	4	0.0
1000	4	0.0
1100	4	0.0
1200	4	0.0
1300	4	0.0
1400	4	0.0


































































































































































































































































































































































































































































































































































































































































































































