! May_snowmelt_release_pattern.table							
! Friant Snowmelt release pattern for May							
! written 09.12.2002 by MBK
! Revision on 02/17/2016 by Jim Shannon, USBR: Table revised for "month" rather than "contract_month."
May_snowmelt_release_pattern							
forecast_spill	month	percent					
0	8	0.0					
100	8	50.0					
200	8	33.3					
300	8	50.0					
400	8	40.0					
500	8	50.0					
600	8	57.1					
700	8	50.0					
800	8	50.0					
0	9	100.0					
100	9	50.0					
200	9	66.7					
300	9	50.0					
400	9	60.0					
500	9	50.0					
600	9	42.9					
700	9	50.0					
800	9	50.0					
0	10	0.0					
100	10	0.0					
200	10	0.0					
300	10	0.0					
400	10	0.0					
500	10	0.0					
600	10	0.0					
700	10	0.0					
800	10	0.0					
0	11	0.0
100	11	0.0
200	11	0.0
300	11	0.0
400	11	0.0
500	11	0.0
600	11	0.0
700	11	0.0
800	11	0.0
0	12	0.0
100	12	0.0
200	12	0.0
300	12	0.0
400	12	0.0
500	12	0.0
600	12	0.0
700	12	0.0
800	12	0.0
0	1	0.0
100	1	0.0
200	1	0.0
300	1	0.0
400	1	0.0
500	1	0.0
600	1	0.0
700	1	0.0
800	1	0.0
0	2	0.0
100	2	0.0
200	2	0.0
300	2	0.0
400	2	0.0
500	2	0.0
600	2	0.0
700	2	0.0
800	2	0.0
0	3	0.0
100	3	0.0
200	3	0.0
300	3	0.0
400	3	0.0
500	3	0.0
600	3	0.0
700	3	0.0
800	3	0.0
0	4	0.0
100	4	0.0
200	4	0.0
300	4	0.0
400	4	0.0
500	4	0.0
600	4	0.0
700	4	0.0
800	4	0.0
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
