! Merced FERC, Davis Grunsky Crocker - Huffman Dam to Shaffer Bridge,  Cowell Agreement Entitlement
Merced_MinFlows																	
Month	DavisGrunskyDry	DavisGrunskyWet	FERC_Wet	FERC_Dry	Cowell_Base	DavisGrunskyDryAprSep	DavisGrunskyWetAprSep	FERC_Wet_AprSep	FERC_Dry_AprSep	Cowell_Base_AprSep
1	0	0	50.81	38.23	50	0	0	175	120	1025
2	180	220	100	75	50	0	0	175	120	1025
3	180	220	100	75	50	0	0	175	120	1025
4	180	220	75	60	50	0	0	175	120	1025
5	180	220	75	60	50	0	0	175	120	1025
6	180	220	75	60	100	0	0	175	120	1025
7	0	0	75	60	175	0	0	175	120	1025
8	0	0	75	60	225	0	0	175	120	1025
9	0	0	25	15	250	0	0	175	120	1025
10	0	0	25	15	225	0	0	175	120	1025
11	0	0	25	15	175	0	0	175	120	1025
12	0	0	25	15	150	0	0	175	120	1025
