!Estimates of releases for SJRR flows for use in determining Friant allocations and snowmelt release requirements
!Estimates below are based on C_MLRTM from a CalSim 3 run for 1922-2015, averaged by SJRR WY type
!Model used was C:\CalSim\ReclamationLTO_2023\CalSim3_NAA_Hist_031923\DSS\output\CalSim3_Hist_NAA_031923_LOD0_txfrfacttest1_DV.dss
!TF Stantec 032423
Mlrtn_rel_est
Mon wytype   Flow    thruJune    thruSept
1   0   26  449 519
2   0   36  422 493
3   0   24  386 456
4   0   27  362 432
5   0   12  335 405
6   0   34  323 393
7   0   148 288 359
8   0   61  140 210
9   0   79  79  150
10  0   26  0   70
11  0   22  0   45
12  0   23  0   23
1   1   26  449 519
2   1   36  422 493
3   1   24  386 456
4   1   27  362 432
5   1   12  335 405
6   1   34  323 393
7   1   148 288 359
8   1   61  140 210
9   1   79  79  150
10  1   26  0   70
11  1   22  0   45
12  1   23  0   23
1   2   25  457 537
2   2   35  432 512
3   2   23  397 477
4   2   22  375 455
5   2   19  353 432
6   2   79  334 413
7   2   202 254 334
8   2   26  52  131
9   2   26  26  106
10  2   24  0   80
11  2   25  0   56
12  2   31  0   31
1   3   27  377 465
2   3   36  350 439
3   3   22  314 403
4   3   24  293 382
5   3   21  269 358
6   3   87  248 337
7   3   119 162 250
8   3   22  42  131
9   3   21  21  110
10  3   29  0   89
11  3   26  0   59
12  3   34  0   34
1   4   27  307 397
2   4   34  280 371
3   4   23  246 337
4   4   25  224 314
5   4   22  198 289
6   4   82  177 267
7   4   46  94  185
8   4   28  49  139
9   4   21  21  111
10  4   31  0   90
11  4   24  0   59
12  4   35  0   35
1   5   24  269 340
2   5   32  245 316
3   5   23  214 285
4   5   24  190 261
5   5   21  166 237
6   5   74  145 217
7   5   17  71  142
8   5   34  54  125
9   5   21  21  92
10  5   20  0   71
11  5   19  0   51
12  5   33  0   33
1   6   22  206 277
2   6   22  184 255
3   6   20  162 232
4   6   19  142 213
5   6   17  124 194
6   6   43  107 178
7   6   31  64  134
8   6   17  33  103
9   6   16  16  87
10  6   18  0   71
11  6   18  0   53
12  6   35  0   35
