! flows for mokelumne joint settlement agreement
!WBAPRSEPTAF is the cumulative flow requirement at Woodbridge March through September in TAF
Mok_JSAFlow
month	wyt	minCamanche	minWoodbridge	WBAprSepTAF
1	1	325	100	49.79
2	1	325	100	49.79
3	1	325	100	49.79
4	1	325	100	49.79
5	1	325	100	49.79
6	1	325	100	49.79
7	1	325	150	49.79
8	1	325	300	49.79
9	1	325	300	49.79
10	1	100	25	49.79
11	1	100	25	49.79
12	1	100	25	49.79
1	2	250	100	36.77
2	2	250	100	36.77
3	2	250	100	36.77
4	2	250	100	36.77
5	2	250	100	36.77
6	2	250	100	36.77
7	2	250	150	36.77
8	2	250	200	36.77
9	2	250	200	36.77
10	2	100	20	36.77
11	2	100	20	36.77
12	2	100	20	36.77
1	3	220	80	22.99
2	3	220	80	22.99
3	3	220	80	22.99
4	3	220	80	22.99
5	3	220	80	22.99
6	3	220	80	22.99
7	3	220	150	22.99
8	3	220	150	22.99
9	3	100	20	22.99
10	3	100	20	22.99
11	3	100	20	22.99
12	3	100	20	22.99
1	4	115.48	45.97	9.01
2	4	130	75	9.01
3	4	130	75	9.01
4	4	130	75	9.01
5	4	130	75	9.01
6	4	130	75	9.01
7	4	130	75	9.01
8	4	100	15	9.01
9	4	100	15	9.01
10	4	100	15	9.01
11	4	100	15	9.01
12	4	100	15	9.01

