! Flow requirements from the 2000 Joint Settlement Agreement for Relicensing of FERC Project 137                                                  																									
! MinElectra in cfs                                                  																									
!febjunMinElectra in TAF                                                  																									
Mok_P137Flow                                                  																									
month	wyt	NFM029_total	NFM029_min	NFM029_pulse	NFM029_rec	NFM010_min	NFM010_pulse	NFM010_rec	NFM006_min	NFM006_pulse	NFM006_rec	BRV002_total	BRV002_min	BRV002_pulse	BRV002_rec	COL002_min	COL002_pulse	COL002_rec	TGC002_min	TGC002_pulse	TGC002_rec	MOK082_min	MOK082_pulse	MOK082_rec	febjunmin
1	1	20	20	0	0	20	0	0	20	0	0	6	6	0	0	6	0	0	3	0	0	20	0	0	0
2	1	43	43	0	0	50	0	0	50	0	0	15	15	0	0	12	0	0	5	0	0	50	0	0	0
3	1	43	43	0	0	50	0	0	50	0	0	15	15	0	0	12	0	0	5	0	0	50	0	0	0
4	1	75	75	0	0	90	0	0	90	0	0	20	20	0	0	15	0	0	7	0	0	90	0	0	0
5	1	110	110	0	0	120	0	0	120	0	0	20	20	0	0	15	0	0	7	2	0	120	0	0	151
6	1	135	135	0	0	150	0	0	150	0	0	25	25	0	0	20	0	0	10	2	0	150	0	0	144
7	1	375	375	0	0	400	0	0	400	0	0	50	50	0	0	45	0	0	10	0	0	400	0	0	135
8	1	1151	930	221	0	980	211	0	980	211	0	212	110	102	0	100	0	0	7	0	0	980	211	0	111
9	1	721	720	0	1	850	0	0	850	0	0	70	70	0	0	60	0	0	5	0	0	850	0	0	51
10	1	145	145	0	0	145	0	0	145	0	0	30	30	0	0	25	0	0	5	0	0	145	0	15	0
11	1	20	20	0	0	30	0	0	30	0	0	15	15	0	0	10	0	0	3	0	0	30	0	0	0
12	1	20	20	0	0	20	0	0	20	0	0	6	6	0	0	6	0	0	3	0	0	20	0	0	0
1	2	20	20	0	0	20	0	0	20	0	0	6	6	0	0	6	0	0	3	0	0	20	0	0	0
2	2	20	20	0	0	20	0	0	20	0	0	8	8	0	0	6	0	0	5	0	0	20	0	0	0
3	2	30	30	0	0	40	0	0	40	0	0	10	10	0	0	8	0	0	5	0	0	40	0	0	0
4	2	50	50	0	0	60	0	0	60	0	0	14	14	0	0	10	0	0	7	0	0	60	0	0	0
5	2	50	50	0	0	60	0	0	60	0	0	14	14	0	0	10	0	0	7	2	0	60	0	0	68
6	2	90	90	0	0	110	0	0	110	0	0	20	20	0	0	15	0	0	10	2	0	110	0	0	64
7	2	170	170	0	0	190	0	0	190	0	0	30	30	0	0	30	0	0	10	0	0	190	0	0	58
8	2	655	430	221	4	490	211	13	490	211	4	172	70	102	0	70	0	0	7	0	0	490	211	3	46
9	2	234	230	0	4	270	0	0	270	0	0	40	40	0	0	30	0	0	5	0	0	270	0	12	16
10	2	30	30	0	0	40	0	0	40	0	0	15	15	0	0	15	0	0	5	0	0	40	0	22	0
11	2	20	20	0	0	20	0	0	20	0	0	6	6	0	0	6	0	0	3	0	0	20	0	0	0
12	2	20	20	0	0	20	0	0	20	0	0	6	6	0	0	6	0	0	3	0	0	20	0	0	0
1	3	20	20	0	0	20	0	0	20	0	0	4	4	0	0	4	0	0	3	0	0	20	0	0	0
2	3	20	20	0	0	25	0	0	25	0	0	6	6	0	0	4	0	0	5	0	0	25	0	0	0
3	3	25	25	0	0	30	0	0	30	0	0	8	8	0	0	6	0	0	5	0	0	30	0	0	0
4	3	40	40	0	0	40	0	0	40	0	0	10	10	0	0	8	0	0	7	0	0	40	0	0	0
5	3	40	40	0	0	40	0	0	40	0	0	10	10	0	0	8	0	0	7	2	0	40	0	0	41
6	3	70	70	0	0	80	0	0	80	0	0	15	15	0	0	10	0	0	10	2	0	80	0	0	39
7	3	110	110	0	0	135	0	0	135	0	0	25	25	0	0	25	0	0	10	0	0	135	0	0	34
8	3	358	210	144	4	250	137	15	250	137	5	125	40	85	0	50	0	0	7	0	0	250	137	20	26
