Mok_ResInfo
ResNum   Elevation  Storage  Area  Discharge
1        250        0        0         0        !Pardee
1        260        40       11.46     99999    !Updated Bathymetric data received from EBMUD
1        300        1460     55.78     99999    
1        340        4710     114.49    99999    
1        380        11510    236.41    99999    
1        382        11990    244.59    99999    
1        384        12490    254.13    99999    
1        386        13010    265.6     99999    
1        388        13550    275.27    99999    
1        390        14110    284.28    99999    
1        392        14690    292.86    99999    
1        394        15280    301.32    99999    
1        396        15890    310.4     99999    
1        398        16530    319.81    99999    
1        400        17170    329.43    99999    
1        402        17840    339.12    99999    
1        404        18530    349.29    99999    
1        406        19240    360.08    99999    
1        408        19970    370.92    99999    
1        410        20720    381.75    99999    
1        412        21500    392.7     99999    
1        414        22300    404.39    99999    
1        416        23120    415.95    99999    
1        418        23960    428.58    99999    
1        420        24830    441.69    99999    
1        422        25730    453.99    99999    
1        424        26650    466.48    99999    
1        426        27590    479.24    99999    
1        428        28560    492.53    99999    
1        430        29560    506.37    99999    
1        432        30590    520.31    99999    
1        434        31640    534.58    99999    
1        436        32730    549.29    99999    
1        438        33840    564.16    99999    
1        440        34980    579.07    99999    
1        442        36160    594.41    99999    
1        444        37360    610.16    99999    
1        446        38600    626.46    99999    
1        448        39870    643.57    99999    
1        450        41170    661.14    99999    
1        452        42510    679.62    99999    
1        454        43890    698.85    99999    
1        456        45310    719.09    99999    
1        458        46770    738.22    99999    
1        460        48260    758.35    99999    
1        462        49800    778.46    99999    
1        464        51380    800.84    99999    
1        466        53000    823.97    99999    
1        468        54670    847.04    99999    
1        470        56390    871.85    99999    
1        472        58160    894.76    99999    
1        474        59980    920.51    99999    
1        476        61840    944.4     99999    
1        478        63750    967.18    99999    
1        480        65710    991.33    99999    
1        482        67720    1016.58   99999    
1        484        69780    1042.26   99999    
1        486        71890    1066.3    99999    
1        488        74040    1091.88   99999    
1        490        76250    1117.45   99999    
1        492        78520    1143.23   99999    
1        494        80830    1168.89   99999    
1        496        83190    1194.69   99999    
1        498        85610    1219.78   99999    
1        500        88070    1245.6    99999    
1        502        90590    1272.91   99999    
1        504        93160    1299.12   99999    
1        506        95780    1324.42   99999    
1        508        98460    1349.73   99999    
1        510        101180   1375.39   99999    
1        512        103960   1401.11   99999    
1        514        106790   1427.18   99999    
1        516        109670   1454.18   99999    
1        518        112600   1480.57   99999    
1        520        115590   1506.5    99999    
1        522        118630   1534.76   99999    
1        524        121730   1560.76   99999    
1        526        124880   1588.31   99999    
1        528        128080   1614.76   99999    
1        530        131340   1640.57   99999    
1        532        134640   1667.08   99999    
1        534        138000   1694.12   99999    
1        536        141420   1720.61   99999    
1        538        144890   1748.09   99999    
1        540        148410   1776.43   99999    
1        542        151990   1805.35   99999    
1        544        155630   1834.19   99999    
1        546        159330   1864.65   99999    
1        548        163090   1894.87   99999    
1        550        166910   1926.97   99999    
1        552        170820   1976.54   99999    
1        554        174800   2010.35   99999    
1        556        178860   2048.79   99999    
1        558        182990   2081.26   99999    
1        560        187190   2112.83   99999    
1        562        191440   2142.16   99999    
1        564        195760   2170.4    99999    
1        566        200130   2201.16   99999    
1        568        204590   2279.11   99999    
1        570        209170   2295.48   99999    
1        572        213770   2314.28   99999    
1        574        218430   2342.4    99999    
1        575        220780   2400.42   99999    
