!Historical coverage (2009 - 2022) of the real-time adjustment OMR Actions for the 2023 LTO PA			
!Shown as a percentage of the month that is limiting OMR to -3,500 cfs			
OMR_PA_ProtFishActions			
Month	WYT	HighFlow	All
1	1	0.00	0.00
2	1	0.00	0.00
3	1	0.00	0.00
4	1	0.00	0.00
5	1	0.00	0.00
6	1	0.34	0.90
7	1	0.54	0.87
8	1	0.37	0.70
9	1	0.26	0.59
10	1	0.00	0.00
11	1	0.00	0.00
12	1	0.00	0.00
1	2	0.00	0.00
2	2	0.00	0.00
3	2	0.00	0.00
4	2	0.32	0.32
5	2	0.54	0.75
6	2	0.67	0.95
7	2	0.47	0.83
8	2	0.24	0.69
9	2	0.24	0.53
10	2	0.00	0.00
11	2	0.00	0.00
12	2	0.00	0.00
1	3	0.00	0.00
2	3	0.00	0.00
3	3	0.00	0.00
4	3	0.05	0.20
5	3	0.31	0.46
6	3	1.00	1.00
7	3	0.41	0.79
8	3	0.11	0.67
9	3	0.21	0.46
10	3	0.00	0.00
11	3	0.00	0.00
12	3	0.00	0.00
1	4	0.00	0.00
2	4	0.00	0.00
3	4	0.00	0.00
4	4	0.04	0.41
5	4	0.15	0.49
6	4	0.49	0.73
7	4	0.79	0.88
8	4	0.39	0.63
9	4	0.00	0.40
10	4	0.00	0.00
11	4	0.00	0.00
12	4	0.00	0.00
1	5	0.00	0.00
2	5	0.00	0.00
3	5	0.00	0.00
4	5	0.00	0.25
5	5	0.00	0.25
6	5	0.00	0.45
7	5	0.03	0.34
8	5	0.09	0.21
9	5	0.00	0.10
10	5	0.00	0.00
11	5	0.00	0.00
12	5	0.00	0.00
