!Table for month SJRRP Flows
!This table is for FULL flows
SJRRP
ann     mon     NP      P       thruJun     thruSept	RCH_NP	RCH_P
0       1       160     0       0           0		0	0
0       2       122     0       0           0		0	0
0       3       120     0       0           0		0	0
0       4       100     0       0           0		0	0
0       5       100     0       45.46       0		0	0
0       6       130     0       39.91       80.69	0	0
0       7       150     150     31.91       72.69   	0	0
0       8       190     0       22.99       63.77	0	0
0       9       190     0       11.31       52.09	0	0
0       10      230     0       0           40.78	0	0
0       11      230     0       0           26.64	0	0	
0       12      210     0       0           12.5	0	0
399.9   1       160     0       0           0		0	0
399.9   2       122     0       0           0		0	0
399.9   3       120     0       0           0		0	0
399.9   4       100     0       0           0		0	0
399.9   5       100     0       45.46       0		0	0
399.9   6       130     0       39.91       80.69	0	0
399.9   7       150     150     31.91       72.69	0	0
399.9   8       190     0       22.99       63.77	0	0
399.9   9       190     0       11.31       52.09	0	0
399.9   10      230     0       0           40.78	0	0
399.9   11      230     0       0           26.64	0	0
399.9   12      210     0       0           12.5	0	0
400     1       160     0       0           0		0	0
400     2       176     0       0           0		39	0
400     3       120     0       0           0		0	0
400     4       110     0       0           0		0	0
400     5       110     0       106.49      0   	0	0
400     6       1016    0       100.39      147.2	767.58	0
400     7       200     200     37.91       84.74	0	0
400     8       215     0       26.01       72.84	0	0
400     9       215     0       12.79       59.62	0	0
400     10      255     0       0           46.83	0	0
400     11      255     0       0           31.15	0	0
400     12      260     0       0           15.47	0	0
669.9   1       160     0       0           0		0	0
669.9   2       176     0       0           0		39	0
669.9   3       120     0       0           0		0	0
669.9   4       110     0       0           0		0	0
669.9   5       110     0       106.49      0   	0	0
669.9   6       1016    0       100.39      147.2	767.58	0
669.9   7       200     200     37.91       84.74	0	0
669.9   8       215     0       26.01       72.84	0	0
669.9   9       215     0       12.79       59.62	0	0
669.9   10      255     0       0           46.83	0	0
669.9   11      255     0       0           31.15	0	0
669.9   12      260     0       0           15.47	0	0
670     1       350     0       0           0		115	0
670     2       360     0       0           0		213.33	0
670     3       350     0       0           0		155	0
670     4       350     0       0           0		175	0
670     5       350     0       154.95      0		175	0
670     6       1016    0       133.43      166.79	757.58	0	
670     7       350     326     51.52       104.32	125	101
670     8       260     0       31.46       84.26	0	0
670     9       260     0       15.47       68.27	0	0
670     10      260     0       0           52.80	0	0
670     11      260     0       0           36.81	0	0
670     12      350     0       0           20.82	65	0
690     1       350     0       0           0		115	0
690     2       428     0       0           0		270.67	0	
690     3       350     0       0           0		155	0
690     4       350     0       0           0		175	0
690     5       350     0       134.19      0		175	0
690     6       1016    0       114.76      167.56	767.58	0
690     7       350     350     52.28       105.08	125	125
690     8       260     0       31.46       84.26	0	0
690     9       260     0       15.47       68.27	0	0
690     10      260     0       0           52.80	0	0	
690     11      260     0       0           36.81	0	0
690     12      350     0       0           20.82	65	0
702     1       350     0       0           0		115	0
702     2       467     0       0           0		313.33	0
702     3       350     0       0           0		155	0
702     4       350     0       0           0		175	0
702     5       350     0       134.19      0		175	0
702     6       1016    0       114.76      167.56	767.58	0
702     7       350     350     52.28       105.08	125	125
702     8       260     0       31.46       84.26	0	0
702     9       260     0       15.47       68.27	0	0
702     10      260     0       0           52.80	0	0
702     11      260     0       0           36.81	0	0
702     12      350     0       0           20.82	65	0
724     1       350     0       0           0		115	0
724     2       467     0       0           0		313.33	0
724     3       350     0       0           0		155	0
724     4       350     0       0           0		175	0
724     5       350     0       139.17      0		175	0
724     6       1016    0       119.74      172.54	767.58	0
724     7       350     350     57.26       110.06	125	125
