! Potential recapture of SRRP flows (cfs) upstream of Delta
!   Patterson ID        D_SJR096_SJRRRECAP
!   Banta Carbona ID    D_SJR070_SJRRRECAP
!   West Stanislaus ID  D_SJR082_SJRRRECAP
!SRRP_Recapture_Pot
!Mon D620D   D644A   D630C
!1  34  90  120
!2      39  90  120
!3      39  95  120
!4      39  95  120
!5      39  90  120
!6      39  60  120
!7      33  60  60
!8      30  30  40
!9      30  25  0   
!10     24  0   0
!11     24  30  10
!12     36  70  60
SRRP_Recapture_Pot
Mon D_SJR096   D_SJR070   D_SJR082
1   130 150 180
2   170 180 220
3   195 180 230
4   195 180 230
5   195 180 210
6   170 100 190
7   160 100 160
8   115 50  120
9   60  40  40
10  15  0   0
11  30  75  0
12  50  100 120
