! Beaver Creek Diversion relationship with water available (I_BVC003-C_BVC003_MIF) in North Fork Stanislaus River.
! Water Available and Diversion both are in CFS.
Stanislaus_BeaverCk_Div
  Mon     WaterAvb   Diversion
       1           0           0
       1       10000           0
       2           0           0
       2         360         288
       2       10000         288
       3           0           0
       3          10          10
       3        1233         288
       3       10000         288
       4           0           0
       4          27          24
       4         965         288
       4       10000         288
       5           0           0
       5          75          70
       5         700         288
       5       10000         288
       6           0           0
       6           7           0
       6         300         288
       6       10000         288
       7           0           0
       7          10           0
       7         190         176
       7         305         288
       7       10000         288
       8           0           0
       8         333         288
       8       10000         288
       9           0           0
       9          82          75
       9        1258         288
       9       10000         288
      10           0           0
      10         353         288
      10       10000         288
      11           0           0
      11       10000           0
      12           0           0
      12       10000           0
