! North Fork Stanislaus Diversion relationship with water available (I_NFS030-C_NFS030_MIF) in North Fork Stanislaus River.
! Water Available and Diversion both are in CFS.
Stanislaus_NF_Div
  Mon     WaterAvb    Diversion
       1            0          0
       1         1440       1440
       1        10000       1440
       2            0          0
       2         1645       1440
       2        10000       1440
       3            0          0
       3            5          5
       3         1945       1440
       3        10000       1440
       4            0          0
       4         1619       1440
       4        10000       1440
       5            0          0
       5         1749       1440
       5        10000       1440
       6            0          0
       6         1532       1440
       6        10000       1440
       7            0          0
       7           40         40
       7         1546       1440
       7        10000       1440
       8            0          0
       8           40         40
       8          400        380
       8         1636       1440
       8        10000       1440
       9            0          0
       9          310        300
       9         1665       1440
       9        10000       1440
      10            0          0
      10         1477       1440
      10        10000       1440
      11            0          0
      11         1440       1440
      11        10000       1440
      12            0          0
      12         1440       1440
      12        10000       1440
