! Beardsley Reservoir Level 3 targets based on Total water available upstream of Beardsley Lake
! Water Available and Level 3 are in TAF
Stanislaus_beardsley_reslevel
Mon     WaterAvb     S_BEARD_level3
       1            0         41.8
       1         98.4         41.8
       1        107.3         51.8
       1        116.8         56.1
       1        139.9         82.9
       1        155.5           93
       1        184.4         94.4
       1        253.6         97.8
       1         1500         97.8
       2            0       18.578
       2         68.1         33.6
       2         79.9         36.2
       2          119         73.5
       2        135.8         78.7
       2         1500         78.7
       3            0         30.3
       3         68.7         30.3
       3         82.9         39.1
       3        102.1         59.9
       3        150.8         78.7
       3         1500         78.7
       4            0         27.7
       4         54.1         27.7
       4         72.5         29.1
       4         95.1         51.5
       4        128.4         78.7
       4         1500         78.7
       5            0         24.7
       5         58.4         24.7
       5         83.4         49.4
       5          103         57.7
       5          128         57.7
       5        141.3         78.7
       5         1500         78.7
       6            0        11.48
       6         36.4           24
       6         65.2         33.9
       6          100         36.2
       6          115         70.9
       6        137.2         78.7
       6         1500         78.7
       7            0      18.2983
       7         40.5         27.3
       7         58.1         31.2
       7         94.7         51.3
       7        112.5           56
       7        119.3         68.5
       7        145.8         72.6
       7        151.4         90.2
       7          274         96.8
       7         1500         96.8
       8            0        20.57
       8         56.6         29.8
       8         91.5         35.5
       8         91.7         47.1
       8          200           88
       8          288         96.8
       8         1500         96.8
       9            0         35.5
       9         69.1         35.5
       9        111.6         60.3
       9        130.7           62
       9        161.7           92
       9          213         96.8
       9         1500         96.8
      10            0            0
      10           17            0
      10         76.9         35.5
      10          119         60.3
      10        129.3         60.4
      10        146.8         67.2
      10        164.7         85.7
      10          195           95
      10          198         96.8
      10         1500         96.8
      11            0            0
      11         38.3            0
      11        115.9         58.2
      11        127.6         58.8
      11        147.6         68.9
      11        156.3         80.6
      11        172.6         94.4
      11          184         96.8
      11         1500         96.8
      12            0      12.2462
      12        110.1         52.6
      12        114.4         52.9
      12        126.7         56.7
      12        156.9         91.2
      12        165.2         93.7
      12          181         95.5
      12        195.4         96.8
      12         1500         96.8
