! Donnell Reservoir Level 3 targets based on Total water available upstream of Beardsley Lake
! Water Available and Level 3 are in TAF
Stanislaus_donnell_reslevel
Mon     WaterAvb     S_DONLL_level3
       1            0         23.4
       1        139.9         23.4
       1        155.9         29.9
       1          165         41.7
       1         1500         41.7
       2            0       8.4612
       2         73.9         18.4
       2        135.9         18.4
       2        171.3         35.4
       2        200.5         37.8
       2        432.7         57.0
       2         1500         57.0
       3            0         11.2
       3        111.7         11.2
       3        144.2         14.7
       3        216.6         57.0
       3         1500         57.0
       4            0          7.6
       4         95.1          7.6
       4        104.6          8.6
       4        147.1         30.9
       4        178.3         55.0
       4        280.1         56.2
       4        282.2         57.0
       4         1500         57.0
       5            0          5.9
       5         70.7          5.9
       5         83.4          6.0
       5        102.9          7.6
       5        163.2         21.0
       5        167.5         40.5
       5        186.8         57.0
       5         1500         57.0
       6            0          4.6
       6         65.2          4.6
       6         97.1          7.7
       6        113.2         10.7
       6        172.4         23.7
       6          183         44.9
       6        187.7         57.0
       6         1500         57.0
       7            0       0.3385
       7         40.5          8.2
       7         72.5         14.4
       7          123         18.0
       7          147         27.0
       7        201.2         45.8
       7        250.9         63.5
       7         1500         63.5
       8            0          0.0
       8         56.6         19.7
       8         91.5         41.2
       8        118.4         42.9
       8        240.7         52.9
       8        283.8         63.5
       8         1500         63.5
       9            0          0.0
       9         69.1         36.8
       9         91.8         58.6
       9        130.7         58.4
       9        169.7         63.5
       9         1500         63.5
      10            0      16.2572
      10         69.1         36.8
      10         91.5         58.0
      10        130.8         58.3
      10          170         63.0
      10        213.9         63.5
      10         1500         63.5
      11            0      38.1666
      11         83.4         45.6
      11        115.9         48.5
      11        170.8         49.2
      11        184.2         60.5
      11        214.8         60.8
      11         1500         60.8
      12            0         35.6
      12        156.2         35.6
      12        158.2         40.2
      12        165.1         42.0
      12        193.8         63.5
      12         1500         63.5
