! Donnells supplemental flow requirements based on Donnells reach inflow
! 0=no supplflow
! 3=supplflow req starts in march
! 4=supplflow req starts in april
! 5=supplflow req starts in may
! Extension values a guess!!!!
Stanislaus_donnell_supplflow
wateryear   yeartype
1919        4
1920        4
1921        4
1922        4
1923        4
1924        0
1925        4
1926        4
1927        4
1928        4
1929        4
1930        5
1931        0
1932        4
1933        5
1934        0
1935        4
1936        4
1937        4
1938        4
1939        0
1940        4
1941        4
1942        5
1943        4
1944        4
1945        4
1946        4
1947        4
1948        5
1949        4
1950        4
1951        4
1952        4
1953        5
1954        4
1955        4
1956        4
1957        5
1958        4
1959        0
1960        4
1961        0
1962        5
1963        4
1964        4
1965        4
1966        4
1967        5
1968        4
1969        4
1970        4
1971        5
1972        4
1973        4
1974        4
1975        4
1976        0
1977        0
1978        5
1979        4
1980        4
1981        4
1982        4
1983        5
1984        4
1985        4
1986        4
1987        0
1988        0
1989        3
1990        0
1991        4
1992        0
1993        4
1994        0
1995        5
1996        4
1997        4
1998        5
1999        4
2000        4
2001        4
2002        4
2003        4
2004        4
2005        4
2006        4
2007        4
2008        4
2009        3
2010        3
2011        5
2012        4
2013        4
2014        4
2015        0
2016        4
2017        5
2018        4
2019        4
2020        4
2021        4 
