! C_LYONS flow target based on SF Stanislaus River Inflow
Stanislaus_LYONS_TARGetflow
Mon     SF_Inflow   C_LYONS_TARGet
       3           0           0
       3         0.1         2.6
       3     40.3013         2.6
       3       10000     2676.78
       4           0           0
       4         0.1         2.6
       4     55.1368         2.6
       4       10000      7307.1
       5           0           0
       5         0.1         2.6
       5      78.975         2.6
       5       10000     9778.78
       6           0           0
       6         0.1         2.6
       6     138.698         2.6
       6       10000     11541.3
       7           0           0
       7         0.1         2.6
       7     219.878         2.6
       7       10000     12809.7
       8           0           0
       8         0.1         2.6
       8     182.369         2.6
       8       10000     10081.4
       9           0           0
       9         0.1         2.6
       9     71.3049         2.6
       9       10000     9315.72
      10           0           0
      10         0.1         2.6
      10     26.8516         2.6
      10       10000     8235.43
