! Philadelphia Canal Diversion relationship with water available in SF Stanislaus River
Stanislaus_philadel_div
  Mon    WaterAvb Diversion
       1         0         0
       1      0.47         0
       1     17.59        59
       1      1000        59
       2         0         0
       2      1.84         0
       2     17.97        59
       2      1000        59
       3         0         0
       3      3.28         0
       3     14.84        59
       3      1000        59
       4         0         0
       4       0.1     14.04
       4     22.16        59
       4      1000        59
       5         0         0
       5       0.1     28.18
       5     34.96        59
       5      1000        59
       6         0         0
       6       0.1        52
       6        40        52
       6      1000        52
       7         0         0
       7       0.1        56
       7        52        56
       7      1000        56
       8         0         0
       8       0.1        57
       8        81        57
       8      1000        57
       9         0         0
       9       0.1        55
       9    112.18        59
       9      1000        59
      10         0         0
      10     17.11         0
      10     28.99        56
      10     72.37        59
      10      1000        59
      11         0         0
      11     17.29         0
      11     28.12        59
      11      1000        59
      12         0         0
      12      6.14         0
      12     25.66        59
      12      1000        59
