! Defines the target storage for Pinecrest Reservoir Level 3 based on water available
! Water Avb (S_PCRST+I_PCRST) and Storage target are in TAF
Stanislaus_pinecrest_target
Mon     WaterAvb    S_PCRST_level3
       1           0           4
       1         6.3           4
       1         9.3         5.5
       1        10.7         6.6
       1        11.1         8.5
       1        13.8         8.8
       1        18.6        18.3
       1         100        18.3
       2           0         2.5
       2         4.9         2.5
       2         5.5         3.5
       2           7         3.5
       2         8.6         6.6
       2          12         8.9
       2          25        18.3
       2         100        18.3
       3           0         3.3
       3         4.7         3.3
       3         6.6         4.6
       3           8           5
       3          10           8
       3        18.3        18.3
       3         100        18.3
       4           0           3
       4           5         3.2
       4         9.2         7.2
       4        13.7        11.3
       4        21.4        18.3
       4         100        18.3
       5           0         2.7
       5         4.3         2.7
       5           7         4.6
       5         8.4         6.3
       5        16.1        14.1
       5        20.2        18.3
       5         100        18.3
       6           0         3.2
       6           7         3.5
       6         8.3         6.5
       6           9         6.5
       6          10           8
       6          18        14.9
       6          22        18.3
       6         100        18.3
       7           0           5
       7         6.2           5
       7         8.7         8.1
       7          14          13
       7        19.5        17.5
       7         100        17.5
       8           0         5.7
       8           6         5.7
       8          18          18
       8          28        18.3
       8          39        18.3
       8          50          17
       8         100          17
       9           0         6.8
       9         7.1         6.8
       9        14.3        13.7
       9        18.5        17.8
       9          29        18.3
       9          39        18.3
       9        53.5        17.5
       9         100        17.5
      10           0         6.1
      10         6.8         6.1
      10        13.7        12.3
      10          18        15.5
      10          19        17.5
      10        41.7        18.3
      10         100        18.3
      11           0         5.2
      11         8.3         5.2
      11        12.4         9.8
      11        15.9        13.4
      11          17        15.5
      11          18        16.7
      11         100        16.7
      12           0         3.7
      12         5.3         3.7
      12         9.9         7.2
      12        13.5          11
      12        14.8          11
      12        16.7        13.6
      12        20.3        18.3
      12         100        18.3
