! Relief Reservoir release (in cfs) as a function of Water available (in cfs)
! Use this relationship in all years from Feb-Aug and in Sep-Jan if New Melones forecast > 900 taf
Stanislaus_relief_rel2
  Mon    WaterAvb   Release
       1         0        70
       1       200        70
       1      1700      1070
       2         0        50
       2       145        50
       2      1145       733
       3         0        41
       3       120        41
       3      1720      1031
       4         0         0
       4      28.1         0
       4      1000     721.4
       5         0        24
       5        65        29
       5        80        50
       5      2390      1200
       6         0        19
       6        65        27
       6        85        45
       6      1555      1200
       7         0        50
       7       105        50
       7      1000       960
       8         0        45
       8       280       125
       8      1000       900
       9         0       100
       9       233       100
       9      9000      1000
      10         0        40
      10       270        40
      10      2472      1400
      11         0         0
      11        82        20
      11       169        28
      11       267        40
      11       273        90
      11      1573      1145
      12         0         0
      12     105.6         0
      12      1000     618.6
