! Defines UPA Diversions based on apr to jul forecast of New Melones Inflow
! The New Melones Inflow resets every May
Stanislaus_upa_diversion
  Mon      Dry_1      Dry_2      Dry_3      Dry_4      Dry_5       Wet
   8       1342       1646       1955       2257       2538       2834
   9       1409       1708       2005       2315       2603       2906
   10      1500       1795       2041       2404       2704       2979
   11      1583       1876       2183       2472       2780       3046
   12      1538       1833       2101       2398       2697       2953
   1       1551       1845       2152       2472       2780       3019
   2       1257       1547       1846       2136       2402       2694
   3       1278       1568       1574       2183       2455       2730
   4       1216       1506       1752       2134       2400       2682
   5       1072       1333       1616       1883       2118       2378
   6       1186       1478       1783       2091       2352       2639
   7       1175       1470       1708       2085       2322       2654
