!
!Gross Flood Reservation based on precipitation parameter defined in Flood Control Diagram
!
Stony_Gross_Res
Month	PAR	FloodCurve
1	3	92
1	4	92
1	5	92
1	6	92
1	7	92
1	8	92
1	9	92
1	10	92
1	12	92
1	14	92
2	3	106
2	4	106
2	5	106
2	6	106
2	7	106
2	8	106
2	9	106
2	10	112
2	12	125
2	14	137
3	3	106
3	4	106
3	5	106
3	6	106
3	7	106
3	8	106
3	9	106
3	10	112
3	12	125
3	14	137
4	3	95
4	4	98
4	5	102
4	6	106
4	7	106
4	8	106
4	9	106
4	10	112
4	12	125
4	14	137
5	3	56.5
5	4	64
5	5	70
5	6	78
5	7	85
5	8	92
5	9	100
5	10	107.5
5	12	122.5
5	14	137
6	3	11.5
6	4	21.5
6	5	31.5
6	6	41.5
6	7	51.5
6	8	61.5
6	9	71.5
6	10	81.5
6	12	101.5
6	14	121.5
7	3	0
7	4	0
7	5	0
7	6	0
7	7	3.5
7	8	13.5
7	9	23.5
7	10	33.5
7	12	53.5
7	14	73.5
8	3	0
8	4	0
8	5	0
8	6	0
8	7	0
8	8	0
8	9	0
8	10	0
8	12	3.5
8	14	23.5
9	3	0
9	4	0
9	5	0
9	6	0
9	7	0
9	8	0
9	9	0
9	10	0
9	12	0
9	14	0
10	3	0
10	4	0
10	5	0
10	6	0
10	7	0
10	8	0
10	9	0
10	10	0
10	12	0
10	14	0
11	3	0
11	4	0
11	5	0
11	6	0
11	7	0
11	8	0
11	9	0
11	10	0
11	12	0
11	14	0
12	3	45
12	4	45
12	5	45
12	6	45
12	7	45
12	8	45
12	9	45
12	10	45
12	12	45
12	14	45
