!Minimum streamflow requirements for South Fork American River below Slab Creek Reservoir Dam					
!Flow requirements developed from Appendix A of FERC Project No. 2101-084 License					
!Values in cfs					
UARPmif_SFA039					
Month	Critical	Dry	BelowNormal	AboveNormal	Wet	EOMCritical	EOMDry	EOMBelowNormal	EOMAboveNormal	EOMWet
1	63	63	70	80	90	0	0	0	0	0
2	63	63	70	80	90	0	0	0	0	0
3	63	63	70	80	90	0	0	0	0	0
4	63	63	70	80	90	398	506	815	883	918
5	63	63	70	80	90	335	443	745	803	828
6	63	101	143	143	143	272	380	675	723	738
7	100	143	242	242	242	209	279	532	580	595
8	109	136	290	338	353	109	136	290	338	353
9	90	90	188	222	236	0	0	0	0	0
10	77	90	90	90	90	0	0	0	0	0
11	63	70	70	70	70	0	0	0	0	0
12	63	63	70	70	70	0	0	0	0	0

