! Lake Davis min flow requirement based on April 1st Storage  
! April Storage is in TAF and Davisminflow is in cfs
UF_DavisMinFlow
     AprilStorage    Davisminflow
            0            10
            69.4         10
            69.41        11
            70.18        11
            70.19        12
            70.91        12
            70.92        13
            71.64        13
            71.65        14
            72.37        14
            72.38        15
            73.10        15
            73.11        16
            73.83        16
            73.84        17
            74.56        17
            74.57        18
            75.29        18
            75.30        19
            76.02        19
            76.03        20
            76.75        20
            76.76        21
            77.48        21
            77.49        22
            78.25        22
            78.26        23
            84.37        23
            
         
