!Minimum streamflow requirements for NFF below Cresta Dam					
!Flow requirements developed from P-1962 License. It is assumed that the pulse flows and boating flows do not overlap					
!MIFs in cfs					
UF_FERC_NFF035				
Month	CriticallyDry   Dry	Normal	Wet
1	140.00	260.00	493.75	493.75
2	100.00	260.00	325.00	325.00
3	100.00	280.00	350.00	350.00
4	100.00	280.00	350.00	350.00
5	100.00	280.00	350.00	350.00
6	115.00	304.00	391.67	391.67
7	114.52	303.23	390.32	390.32
8	140.00	280.00	390.32	390.32
9	247.50	352.50	655.00	655.00
10	222.50	327.50	543.75	543.75
11	222.50	327.50	493.75	493.75
12	222.50	327.50	493.75	493.75

