!Units cfs											
!All values taken from FERC	Project	No.	2088-068 FEIS App. C		
!Existing values from 'Existing'									
!Alternative values	from FS	final "4(e)," per Staff	Recommendations	in	Main Body FEIS
UF_P2088minflow												
Project	WYT	month	MinFlow_Ex	MinFlow_Alt								
1	1	1	10	19								
1	1	2	5	19								
1	1	3	5	19								
1	1	4	5	19								
1	1	5	5	19								
1	1	6	5	19								
1	1	7	5	86								
1	1	8	10	126								
1	1	9	10	53								
1	1	10	10	19								
1	1	11	10	19								
1	1	12	10	19								
1	2	1	10	15								
1	2	2	5	15								
1	2	3	5	15								
1	2	4	5	15								
1	2	5	5	15								
1	2	6	5	19								
1	2	7	5	46								
1	2	8	10	72.5								
1	2	9	10	46								
1	2	10	10	19								
1	2	11	10	19								
1	2	12	10	19								
1	3	1	5	10								
1	3	2	5	10								
1	3	3	5	10								
1	3	4	5	10								
1	3	5	5	10								
1	3	6	5	19								
1	3	7	5	34								
1	3	8	5	32								
1	3	9	5	28								
1	3	10	5	15								
1	3	11	5	10								
1	3	12	5	10								
1	4	1	5	10								
1	4	2	5	10								
1	4	3	5	10								
1	4	4	5	10								
1	4	5	5	10								
1	4	6	5	19								
1	4	7	5	26								
1	4	8	5	26								
1	4	9	5	19								
1	4	10	5	10								
1	4	11	5	10								
1	4	12	5	10								
2	1	1	10	19								
2	1	2	5	19								
2	1	3	5	19								
2	1	4	5	19								
2	1	5	5	19								
2	1	6	5	19								
2	1	7	5	86								
2	1	8	10	126								
2	1	9	10	53								
2	1	10	10	19								
2	1	11	10	19								
2	1	12	10	19								
2	2	1	10	15								
2	2	2	5	15								
2	2	3	5	15								
2	2	4	5	15								
2	2	5	5	15								
2	2	6	5	19								
2	2	7	5	46								
2	2	8	10	72.5								
2	2	9	10	46								
2	2	10	10	19								
2	2	11	10	19								
2	2	12	10	19								
2	3	1	5	10								
2	3	2	5	10								
2	3	3	5	10								
2	3	4	5	10								
2	3	5	5	10								
2	3	6	5	19								
2	3	7	5	34								
2	3	8	5	32								
2	3	9	5	28								
2	3	10	5	15								
2	3	11	5	10								
2	3	12	5	10								
2	4	1	5	10								
2	4	2	5	10								
2	4	3	5	10								
2	4	4	5	10								
2	4	5	5	10								
2	4	6	5	19								
2	4	7	5	26								
2	4	8	5	26								
2	4	9	5	19								
2	4	10	5	10								
2	4	11	5	10								
2	4	12	5	10								
3	1	1	10	19								
3	1	2	5	19								
3	1	3	5	19								
3	1	4	5	19								
3	1	5	5	19								
3	1	6	5	19								
3	1	7	5	86								
3	1	8	10	126								
3	1	9	10	53								
3	1	10	10	19								
3	1	11	10	19								
3	1	12	10	19								
3	2	1	10	15								
3	2	2	5	15								
3	2	3	5	15								
3	2	4	5	15								
3	2	5	5	15								
3	2	6	5	19								
3	2	7	5	46								
3	2	8	10	72.5								
3	2	9	10	46								
3	2	10	10	19								
3	2	11	10	19								
3	2	12	10	19								
3	3	1	5	10								
3	3	2	5	10								
3	3	3	5	10								
3	3	4	5	10								
3	3	5	5	10								
3	3	6	5	19								
3	3	7	5	34								
3	3	8	5	32								
3	3	9	5	28								
3	3	10	5	15								
3	3	11	5	10								
3	3	12	5	10								
3	4	1	5	10								
3	4	2	5	10								
3	4	3	5	10								
3	4	4	5	10								
3	4	5	5	10								
3	4	6	5	19								
3	4	7	5	26								
3	4	8	5	26								
3	4	9	5	19								
3	4	10	5	10								
3	4	11	5	10								
3	4	12	5	10								
4	1	1	8	8								
4	1	2	5	8								
4	1	3	5	8								
4	1	4	5	8								
4	1	5	5	20								
4	1	6	5	60								
4	1	7	8	30								
4	1	8	8	30								
4	1	9	8	20								
4	1	10	8	10								
4	1	11	8	8								
4	1	12	8	8								
4	2	1	8	8								
4	2	2	5	8								
4	2	3	5	8								
4	2	4	5	8								
4	2	5	5	20								
4	2	6	5	45								
4	2	7	8	30								
4	2	8	8	20								
4	2	9	8	16								
4	2	10	8	8								
4	2	11	8	8								
4	2	12	8	8								
4	3	1	8	8								
4	3	2	5	8								
4	3	3	5	8								
4	3	4	5	8								
4	3	5	5	16								
4	3	6	5	40								
4	3	7	8	25								
4	3	8	8	20								
4	3	9	8	12								
4	3	10	8	8								
4	3	11	8	8								
4	3	12	8	8								
4	4	1	8	8								
4	4	2	5	8								
4	4	3	5	8								
4	4	4	5	8								
4	4	5	5	12								
4	4	6	5	30								
4	4	7	8	20								
4	4	8	8	15								
4	4	9	8	12								
4	4	10	8	8								
4	4	11	8	8								
4	4	12	8	8								
5	1	1	8	8								
5	1	2	5	8								
5	1	3	5	8								
5	1	4	5	8								
5	1	5	5	20								
5	1	6	5	60								
5	1	7	8	30								
5	1	8	8	30								
5	1	9	8	20								
5	1	10	8	10								
5	1	11	8	8								
5	1	12	8	8								
5	2	1	10	10								
5	2	2	10	10								
5	2	3	10	10								
5	2	4	10	10								
5	2	5	10	10								
5	2	6	10	10								
5	2	7	10	10								
5	2	8	10	10								
5	2	9	10	10								
5	2	10	10	10								
5	2	11	10	10								
5	2	12	10	10								
5	3	1	10	10								
5	3	2	10	10								
5	3	3	10	10								
5	3	4	10	10								
5	3	5	10	10								
5	3	6	10	10								
5	3	7	10	10								
5	3	8	10	10								
5	3	9	10	10								
5	3	10	10	10								
5	3	11	10	10								
5	3	12	10	10								
5	4	1	10	10								
5	4	2	10	10								
5	4	3	10	10								
5	4	4	10	10								
5	4	5	10	10								
5	4	6	10	10								
5	4	7	10	10								
5	4	8	10	10								
5	4	9	10	10								
5	4	10	10	10								
5	4	11	10	10								
5	4	12	10	10								
