UF_SFFres_level				
res_num	month	minOp	RuleCurve	maxOp
1	1	0.5	47.00	70.05
1	2	0.5	44.82	70.05
1	3	0.5	50.27	70.05
1	4	0.5	49.05	70.05
1	5	0.5	53.90	70.05
1	6	0.5	62.60	85.00
1	7	0.5	71.85	85.00
1	8	54.35	78.66	88.184
1	9	54.35	78.78	88.184
1	10	54.35	75.55	88.184
1	11	54.35	69.63	88.184
1	12	54.35	60.89	88.184
2	1	0.571	25.98	64.338
2	2	0.571	18.58	54.252
2	3	0.571	23.77	54.252
2	4	0.571	25.16	54.252
2	5	0.571	35.88	54.252
2	6	0.571	47.06	54.252
2	7	0.571	54.25	54.252
2	8	36.198	55.32	61.704
2	9	36.198	48.99	61.704
2	10	36.198	39.08	61.704
2	11	0.571	27.83	61.704
2	12	0.571	22.20	61.704

