UF_res_level			
res_num	level	month	target
1	4	1	67.5
1	4	2	61.5
1	4	3	62.2
1	4	4	66.2
1	4	5	69.4
1	4	6	76.5
1	4	7	85.3
1	4	8	96.3
1	4	9	98.2
1	4	10	92.2
1	4	11	83.0
1	4	12	76.1
2	4	1	16.7
2	4	2	16.2
2	4	3	17.1
2	4	4	17.8
2	4	5	18.8
2	4	6	21.2
2	4	7	22.6
2	4	8	22.6
2	4	9	22.0
2	4	10	20.8
2	4	11	19.3
2	4	12	18.0
3	4	1	37.3
3	4	2	36.7
3	4	3	36.3
3	4	4	37.8
3	4	5	36.9
3	4	6	37.5
3	4	7	39.5
3	4	8	39.6
3	4	9	39.3
3	4	10	39.9
3	4	11	40.4
3	4	12	40.4
4.1	4	1	837
4.1	4	2	816
4.1	4	3	852
4.1	4	4	897
4.1	4	5	939
4.1	4	6	962
4.1	4	7	1005
4.1	4	8	1068
4.1	4	9	1072
4.1	4	10	1033
4.1	4	11	965
4.1	4	12	913
4.2	4	1	878
4.2	4	2	863
4.2	4	3	837
4.2	4	4	850
4.2	4	5	888
4.2	4	6	949
4.2	4	7	1009
4.2	4	8	1062
4.2	4	9	1079
4.2	4	10	1033
4.2	4	11	965
4.2	4	12	912
4.3	4	1	798
4.3	4	2	778
4.3	4	3	776
4.3	4	4	785
4.3	4	5	805
4.3	4	6	868
4.3	4	7	930
4.3	4	8	1007
4.3	4	9	1018
4.3	4	10	969
4.3	4	11	908
4.3	4	12	853
4.4	4	1	772
4.4	4	2	757
4.4	4	3	762
4.4	4	4	762
4.4	4	5	780
4.4	4	6	825
4.4	4	7	865
4.4	4	8	900
4.4	4	9	893
4.4	4	10	849
4.4	4	11	796
4.4	4	12	748
4.5	4	1	698
4.5	4	2	713
4.5	4	3	741
4.5	4	4	766
4.5	4	5	802
4.5	4	6	831
4.5	4	7	858
4.5	4	8	876
4.5	4	9	863
4.5	4	10	826
4.5	4	11	774
4.5	4	12	719
5.1	4	1	5
5.1	4	2	5
5.1	4	3	5
5.1	4	4	5
5.1	4	5	7
5.1	4	6	11
5.1	4	7	20
5.1	4	8	21
5.1	4	9	21
5.1	4	10	17
5.1	4	11	14
5.1	4	12	10
5.2	4	1	4
5.2	4	2	4
5.2	4	3	5
5.2	4	4	5
5.2	4	5	6
5.2	4	6	11
5.2	4	7	18
5.2	4	8	21
5.2	4	9	18
5.2	4	10	11
5.2	4	11	8
5.2	4	12	5
5.3	4	1	4
5.3	4	2	4
5.3	4	3	5
5.3	4	4	5
5.3	4	5	6
5.3	4	6	11
5.3	4	7	18
5.3	4	8	20
5.3	4	9	17
5.3	4	10	11
5.3	4	11	8
5.3	4	12	5
5.4	4	1	3
5.4	4	2	4
5.4	4	3	4
5.4	4	4	4
5.4	4	5	4
5.4	4	6	9
5.4	4	7	16
5.4	4	8	15
5.4	4	9	10
5.4	4	10	6
5.4	4	11	4
5.4	4	12	3
5.5	4	1	1
5.5	4	2	1
5.5	4	3	3
5.5	4	4	4
5.5	4	5	4
5.5	4	6	7
5.5	4	7	8
5.5	4	8	8
5.5	4	9	5
5.5	4	10	3
5.5	4	11	2
5.5	4	12	1
6	2	1	0.728
6	2	2	0.596
6	2	3	0.861
6	2	4	3.500
6	2	5	3.621
6	2	6	3.926
6	2	7	4.594
6	2	8	6.143
6	2	9	6.143
6	2	10	5.648
6	2	11	4.017
6	2	12	0.728
