!swp_3_tablea_for_WSIDI_training
! output file swp_3_tablea_for_WSIDI_training.table to use ONLY for retraining WSI-DI curves
!  with uniform SWP delivery patterns (equal to the 100% patterns) - see simulation protocol for
!  instructions on WSI-DI retraining procedures.
!
! New Baselines version (Jun 2009), based on (version 9B1) Common Assumptions CMP
! 2020D09E Level of Development Assumptions
! source spreadsheet: FIXED_BST_SWP_SOD_2021DCR_Oct2021.xlsm
swp_3_tablea
contractor       percent          TableA
                1              100            35.80
                2              100            29.88
                3              100            29.51
                4              100            81.39
                5              100            12.70
                6              100            34.41
                7              100             4.80
                8              100            69.18
                9              100            27.50
               10              100             9.30
               11              100             2.90
               12              100            27.88
               13              100            30.60
               14              100             2.63
               15              100           134.60
               16              100           517.92
               17              100            98.77
               18              100            66.13
               19              100            83.91
               20              100             2.30
               21              100           115.41
               22              100           604.48
               23              100           270.43
               24              100           519.89
               25              100           201.30
               26              100            50.29
               27              100            17.68
               28              100             2.98
               29              100            21.30
               30              100            92.60
               31              100            28.80
               32              100            13.14
               33              100            13.59
               34              100            34.96
               35              100            80.74
               36              100            23.89
               37              100            87.47
               38              100             3.15
               39              100            16.85
                1               60            35.80
                2               60            29.88
                3               60            29.51
                4               60            81.39
                5               60            12.70
                6               60            34.41
                7               60             4.80
                8               60            69.18
                9               60            27.50
               10               60             9.30
               11               60             2.90
               12               60            27.88
               13               60            30.60
               14               60             2.63
               15               60           134.60
               16               60           517.92
               17               60            98.77
               18               60            66.13
               19               60            83.91
               20               60             2.30
               21               60           115.41
               22               60           604.48
               23               60           270.43
               24               60           519.89
               25               60           201.30
               26               60            50.29
               27               60            17.68
               28               60             2.98
               29               60            21.30
               30               60            92.60
               31               60            28.80
               32               60            13.14
               33               60            13.59
               34               60            34.96
               35               60            80.74
               36               60            23.89
               37               60            87.47
               38               60             3.15
               39               60            16.85
                1               50            35.80
                2               50            29.88
                3               50            29.51
                4               50            81.39
                5               50            12.70
                6               50            34.41
                7               50             4.80
                8               50            69.18
                9               50            27.50
               10               50             9.30
               11               50             2.90
               12               50            27.88
               13               50            30.60
               14               50             2.63
               15               50           134.60
               16               50           517.92
               17               50            98.77
               18               50            66.13
               19               50            83.91
               20               50             2.30
               21               50           115.41
               22               50           604.48
               23               50           270.43
               24               50           519.89
               25               50           201.30
               26               50            50.29
               27               50            17.68
               28               50             2.98
               29               50            21.30
               30               50            92.60
               31               50            28.80
               32               50            13.14
               33               50            13.59
               34               50            34.96
               35               50            80.74
               36               50            23.89
               37               50            87.47
               38               50             3.15
               39               50            16.85
                1               30            35.80
                2               30            29.88
                3               30            29.51
                4               30            81.39
                5               30            12.70
                6               30            34.41
                7               30             4.80
                8               30            69.18
                9               30            27.50
               10               30             9.30
               11               30             2.90
               12               30            27.88
               13               30            30.60
               14               30             2.63
               15               30           134.60
               16               30           517.92
               17               30            98.77
               18               30            66.13
               19               30            83.91
               20               30             2.30
               21               30           115.41
               22               30           604.48
               23               30           270.43
               24               30           519.89
               25               30           201.30
               26               30            50.29
               27               30            17.68
               28               30             2.98
               29               30            21.30
               30               30            92.60
               31               30            28.80
               32               30            13.14
               33               30            13.59
               34               30            34.96
               35               30            80.74
               36               30            23.89
               37               30            87.47
               38               30             3.15
               39               30            16.85
