!swp_3pattern_demands_for_WSIDI_training
! output file swp_3pattern_demands_for_WSIDI_training.table to use ONLY for retraining WSI-DI curves
!  with uniform SWP delivery patterns (equal to the 100% patterns) - see simulation protocol for
!  instructions on WSI-DI retraining procedures.
!
! New Baselines version (Jun 2009), based on (version 9B1) Common Assumptions CMP
! 2020D09E Level of Development Assumptions
! source spreadsheet: FIXED_BST_SWP_SOD_2021DCR_Oct2021.xlsm
swp_3pattern_demands
contractor       month            percent          demand           remainDemand
                1                4              100             0.17            35.80
                1                5              100             0.47            35.63
                1                6              100             0.94            35.16
                1                7              100             1.00            34.22
                1                8              100             3.51            33.22
                1                9              100             3.62            29.72
                1               10              100             7.38            26.10
                1               11              100             7.65            18.72
                1               12              100             6.02            11.07
                1                1              100             3.22             5.05
                1                2              100             1.14             1.84
                1                3              100             0.70             0.70
                2                4              100             2.36            29.88
                2                5              100             1.43            27.52
                2                6              100             2.11            26.09
                2                7              100             2.22            23.98
                2                8              100             2.69            21.76
                2                9              100             3.04            19.07
                2               10              100             3.30            16.04
                2               11              100             3.28            12.73
                2               12              100             3.14             9.46
                2                1              100             2.86             6.32
                2                2              100             1.93             3.46
                2                3              100             1.52             1.52
                3                4              100             1.32            29.51
                3                5              100             1.32            28.20
                3                6              100             1.02            26.88
                3                7              100             1.51            25.86
                3                8              100             1.79            24.35
                3                9              100             2.98            22.56
                3               10              100             3.03            19.58
                3               11              100             3.30            16.55
                3               12              100             4.19            13.25
                3                1              100             2.96             9.06
                3                2              100             3.07             6.09
                3                3              100             3.03             3.03
                4                4              100             3.04            81.39
                4                5              100             3.81            78.35
                4                6              100             3.95            74.54
                4                7              100             4.82            70.59
                4                8              100             7.13            65.77
                4                9              100             8.99            58.64
                4               10              100            11.04            49.65
                4               11              100            11.50            38.61
                4               12              100             9.84            27.11
                4                1              100             7.53            17.28
                4                2              100             5.94             9.74
                4                3              100             3.80             3.80
                5                4              100             1.06            12.70
                5                5              100             1.06            11.64
                5                6              100             1.06            10.58
                5                7              100             1.06             9.53
                5                8              100             1.06             8.47
                5                9              100             1.06             7.41
                5               10              100             1.06             6.35
                5               11              100             1.06             5.29
                5               12              100             1.06             4.23
                5                1              100             1.06             3.18
                5                2              100             1.06             2.12
                5                3              100             1.06             1.06
                6                4              100             2.20            34.41
                6                5              100             1.94            32.21
                6                6              100             1.75            30.26
                6                7              100             2.31            28.52
                6                8              100             3.05            26.21
                6                9              100             3.76            23.16
                6               10              100             4.41            19.40
                6               11              100             4.36            14.99
                6               12              100             3.87            10.63
                6                1              100             2.89             6.77
                6                2              100             2.26             3.87
                6                3              100             1.61             1.61
                7                4              100             0.24             4.80
                7                5              100             0.24             4.56
                7                6              100             0.24             4.32
                7                7              100             0.24             4.08
                7                8              100             0.24             3.84
                7                9              100             0.24             3.60
                7               10              100             1.06             3.36
                7               11              100             1.06             2.30
                7               12              100             0.53             1.25
                7                1              100             0.24             0.72
                7                2              100             0.24             0.48
                7                3              100             0.24             0.24
                8                4              100             8.63            69.18
                8                5              100             5.09            60.55
                8                6              100             0.00            55.46
                8                7              100             0.00            55.46
                8                8              100             0.24            55.46
                8                9              100             2.70            55.22
                8               10              100             4.19            52.52
                8               11              100             8.75            48.33
                8               12              100            10.64            39.58
                8                1              100             9.84            28.94
                8                2              100             9.66            19.10
                8                3              100             9.44             9.44
                9                4              100             2.30            27.50
                9                5              100             2.28            25.20
                9                6              100             1.94            22.93
                9                7              100             2.36            20.99
                9                8              100             2.01            18.63
                9                9              100             2.28            16.62
