WSI_CVP_NODAg
month   WSI Alloc
6   15000   1.0
6   9900    1.0
6   9700    0.9
6   9400    0.8
6   9100    0.7
6   8800    0.6
6   8500    0.5
6   8200    0.4
6   7900    0.3
6   7400    0.2
6   7100    0.1
6   6800    0.0
6   0       0.0
7   15000   1.0
7   9900    1.0
7   9700    0.9
7   9400    0.8
7   9100    0.7
7   8800    0.6
7   8500    0.5
7   8200    0.4
7   7900    0.3
7   7400    0.2
7   7100    0.1
7   6800    0.0
7   0       0.0
8   15000   1.0
8   9000    1.0
8   8800    0.9
8   8700    0.8
8   8600    0.7
8   8500    0.6
8   8400    0.5
8   8200    0.4
8   7900    0.3
8   7400    0.2
8   7100    0.1
8   6800    0.0
8   0       0.0
