YubaBear_Res_Info
res_num  storage         area            discharge       elevation
1      0               0               0               5885 ! Jackson Meadows Reservoir, from ResSim Model for FERC Relicnsing of Drum-Spaulding System
1      2795            191             0               5933
1      5130            279             356             5943
1      8364            370             550             5953
1      12496           452             760             5963
1      22969           600             760             5983
1      31859           758             760             5996
1      52985           922             99999           6021
1      53909           928             99999           6022
1      67435           1008            99999           6036
2      0               0               99999           5392 ! Bowman Lake
2      20000           243             99999           5443
2      40000           485             99999           5495
2      55000           670             99999           5515
2      68000           825             99999           5567
3      0               0               99999           6200 ! Fordyce Lake
3      900             82              99999           6200 ! This elevation value is a placeholder, not used 
3      1400            182             99999           6200 ! This elevation value is a placeholder, not used 
3      3000            255             99999           6200 ! This elevation value is a placeholder, not used 
3      9500            346             99999           6200 ! This elevation value is a placeholder, not used 
3      13600           437             99999           6200 ! This elevation value is a placeholder, not used 
3      23400           555             99999           6200 ! This elevation value is a placeholder, not used 
3      35000           632             99999           6200 ! This elevation value is a placeholder, not used 
3      46700           716             99999           6343
3      48000           737             99999           6343 ! This elevation value is a placeholder, not used 
4      0               0               99999           4741 ! Lake Spaulding
4      15000           180             99999           4800
4      25000           233             99999           4833
4      50000           467             99999           4925
4      74800           698             99999           5016
5      0               0               99999           2910 ! Scotts Flat Reservoir
5      49000           725             99999           3085
6      50000           600             4235            507  ! Englebright
6      65000           810             99999           522
6      67000           815             99999           527
6      72400           816             99999           530
7      0               0               99999           6598 ! French Lake - information from HEC-ResSim model for FERC relicensing
7      893             30              99999           6605 
7      1805            59              99999           6610 
7      2693            89              99999           6615 
7      3636            119             99999           6620 
7      4641            148             99999           6625 
7      5677            178             99999           6630 
7      6807            208             99999           6635 
7      8006            238             99999           6640 
7      9302            267             99999           6645 
7      10701           297             99999           6650 
7      12203           327             99999           6655 
7      13840           356             99999           6660 
7      14542           386             99999           6662
8      0               0               99999           946  ! Rollins Reservoir
8      66000           825             99999           2188
9      0               0               999999          1525 ! Combie Reservoir
9      5555            360             999999          1610
10     0               0               99999           5800 ! Lake Valley Reservoir
10     300             50              99999           5810
10     1400            120             99999           5820
10     2600            180             99999           5830
10     4900            240             99999           5840
10     7300            300             99999           5850
10     9100            325             99999           5855
11     190000          1648            3218            1700     !New Bullards Bar Dam
11     251000          2006            3251            1732
11     400000          2736            3267            1801
11     600000          3529            99999           1874
11     700000          3889            99999           1902
11     796000          4224            99999           1918
11     896000          4568            99999           1948
11     966000          4809            99999           1961
11     990000          4809            99999           1965
12     0               0               99999           1109      !Merle Collins Reservoir
12     57500           975             99999           1197
