! Clear Creek minimum flow as stated in the CVP OCAP Table II-4 Page 24.
! wytype refers to the Sac Valley 40-30-30 Index and flow values are in units of CFS.
clear_ck_min_PA
month	wytype	flow
1	1	200
2	1	200
3	1	200
4	1	200
5	1	200
6	1	200
7	1	200
8	1	200
9	1	150
10	1	150
11	1	150
12	1	150
1	2	200
2	2	200
3	2	200
4	2	200
5	2	200
6	2	200
7	2	200
8	2	200
9	2	150
10	2	150
11	2	150
12	2	150
1	3	200
2	3	200
3	3	200
4	3	200
5	3	200
6	3	200
7	3	200
8	3	200
9	3	150
10	3	150
11	3	150
12	3	150
1	4	200
2	4	200
3	4	200
4	4	200
5	4	200
6	4	200
7	4	200
8	4	200
9	4	150
10	4	150
11	4	150
12	4	150
1	5	150
2	5	150
3	5	150
4	5	150
5	5	150
6	5	150
7	5	150
8	5	150
9	5	150
10	5	150
11	5	150
12	5	150










